feature,missing_percent
mos_preg,99.0124942952199
mos_lactation,97.35232060533504
fe_alcohol_level,79.7352982029116
fe_smoking_level,79.66783297726685
fg8,74.85729781928579
Total_Calcium,74.85729781928579
fg6,74.85729781928579
fg7,74.85729781928579
Total_Energy,74.85729781928579
Total_VitaminA,74.85729781928579
Total_VitaminC,74.85729781928579
Total_FoodIntake,74.85729781928579
Total_Iron,74.85729781928579
Total_Niacin,74.85729781928579
Total_Protein,74.85729781928579
Total_Riboflavin,74.85729781928579
Total_Thiamin,74.85729781928579
fg10,74.85729781928579
fg11,74.85729781928579
fg19,74.85729781928579
fg1,74.85729781928579
Total_CHO,74.85729781928579
fg9,74.85729781928579
Total_Fat,74.85729781928579
fg5,74.85729781928579
fg4,74.85729781928579
fg3,74.85729781928579
fg13,74.85729781928579
fg12,74.85729781928579
fg14,74.85729781928579
fg15,74.85729781928579
fg16,74.85729781928579
fg17,74.85729781928579
fg21,74.85729781928579
fg23,74.85729781928579
fg24,74.85729781928579
fg25,74.85729781928579
fg18,74.85729781928579
cu,74.85729781928579
fg2,74.85729781928579
fg20,74.85729781928579
fg27,74.85729781928579
fg26,74.85729781928579
whr,19.31688151915814
bmi,0.4491067471839883
sex,0.0
age,0.0
sex_anthro,0.0
strrec_anthro,0.0
provcode_anthro,0.0
psc_anthro,0.0
psurec_anthro,0.0
regcode_anthro,0.0
agemos,0.0
anthro_group,0.0
ethnicity,0.0
age_anthro,0.0
