model_name,strategy,use_class_weight,sampler,cv_requested_folds,cv_folds_used,cv_best_f1,cv_best_auc,cal_accuracy,cal_precision,cal_recall,cal_f1,cal_auc,cal_logloss,best_params,model_path
KNN,adasyn_class_weight,True,adasyn,50,50,0.631483942556375,0.7612971004747057,0.6939324455419349,0.529683147632312,0.7982421618785255,0.6368060279420229,0.7683096171094722,0.6921474697294826,"{""model__n_neighbors"": 11, ""model__p"": 2, ""model__weights"": ""uniform""}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\KNN__adasyn_class_weight__gridsearch_best.joblib
KNN,base,False,none,50,50,0.5536302703001499,0.7772057026346549,0.7196842755093041,0.5889794770874333,0.549652367834186,0.5686367646060935,0.7807810602019714,0.6272198033923558,"{""model__n_neighbors"": 11, ""model__p"": 2, ""model__weights"": ""uniform""}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\KNN__base__gridsearch_best.joblib
KNN,class_weight,True,none,50,50,0.5536302703001499,0.7772057026346549,0.7196842755093041,0.5889794770874333,0.549652367834186,0.5686367646060935,0.7807810602019714,0.6272198033923558,"{""model__n_neighbors"": 11, ""model__p"": 2, ""model__weights"": ""uniform""}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\KNN__class_weight__gridsearch_best.joblib
LightGBM,class_weight,True,none,50,50,0.6857744926748657,0.8221762671437073,0.7361760296322427,0.5725535303486109,0.8488783943329398,0.6838573315719947,0.8203841849202799,0.5068064001538547,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LightGBM__class_weight__gridsearch_best.joblib
LightGBM,adasyn_class_weight,True,adasyn,50,50,0.6802478010108906,0.820728111013868,0.7388217655877943,0.577867350677904,0.8274957365866457,0.6805113544419872,0.8166569271366833,0.49347138557708975,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LightGBM__adasyn_class_weight__gridsearch_best.joblib
LightGBM,adasyn,False,adasyn,50,50,0.6790293270038167,0.8205521654010047,0.7412911191463092,0.5818571694946858,0.8187065459792733,0.6802550547713772,0.8172505265467433,0.4897081028660731,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LightGBM__adasyn__gridsearch_best.joblib
LightGBM,smote,False,smote,50,50,0.6785962259080826,0.821232345542769,0.7423053179292707,0.5835603569751057,0.814902269447724,0.6800963433326035,0.8174972888991185,0.4935367219464058,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LightGBM__smote__gridsearch_best.joblib
LightGBM,smote_class_weight,True,smote,50,50,0.6785962259080826,0.821232345542769,0.7423053179292707,0.5835603569751057,0.814902269447724,0.6800963433326035,0.8174972888991185,0.4935367219464058,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LightGBM__smote_class_weight__gridsearch_best.joblib
LightGBM,base,False,none,50,50,0.649382260793361,0.82210949677033,0.7520945409648118,0.6157852100451336,0.6980191525646071,0.6543285784554845,0.8200456169871345,0.47203761240517,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LightGBM__base__gridsearch_best.joblib
LogReg,adasyn_class_weight,True,adasyn,50,50,0.6796124826134456,0.8221170579913398,0.7397036775729782,0.581254724111867,0.807031352485898,0.6757840391058384,0.8170247811895105,0.5414718292766635,"{""model__C"": 0.5}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LogReg__adasyn_class_weight__gridsearch_best.joblib
LogReg,adasyn,False,adasyn,50,50,0.6786409188828327,0.8221111454696408,0.741467501543346,0.5854534861138085,0.7908959727141546,0.6728419173037219,0.8169946324319683,0.5347701141104194,"{""model__C"": 1.0}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LogReg__adasyn__gridsearch_best.joblib
LogReg,class_weight,True,none,50,50,0.6761313685830391,0.8225780090396918,0.7434077079107505,0.5893954410307235,0.7801390528663256,0.6714842206289167,0.817695913444834,0.5312705259187858,"{""model__C"": 1.0}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LogReg__class_weight__gridsearch_best.joblib
LogReg,smote,False,smote,50,50,0.675074505092377,0.8224628539282335,0.743054943116677,0.5890873015873016,0.7789584153220517,0.6708467491385641,0.8175566714952602,0.5311713776238967,"{""model__C"": 0.5}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LogReg__smote__gridsearch_best.joblib
LogReg,smote_class_weight,True,smote,50,50,0.675074505092377,0.8224628539282335,0.743054943116677,0.5890873015873016,0.7789584153220517,0.6708467491385641,0.8175566714952602,0.5311713776238967,"{""model__C"": 0.5}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LogReg__smote_class_weight__gridsearch_best.joblib
LogReg,base,False,none,50,50,0.6052903810365788,0.8223338723057185,0.7435840903077873,0.6355322338830585,0.5560802833530106,0.593157489680263,0.8174399670489765,0.4919585716611414,"{""model__C"": 0.5}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LogReg__base__gridsearch_best.joblib
NaiveBayes,smote,False,smote,50,50,0.6215682466151956,0.7396443346270719,0.6992680130522974,0.5376465072667604,0.7521972976518431,0.6270778652668416,0.7468912731676537,1.037561323034928,"{""model__var_smoothing"": 1e-09}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\NaiveBayes__smote__gridsearch_best.joblib
NaiveBayes,smote_class_weight,True,smote,50,50,0.6215682466151956,0.7396443346270719,0.6992680130522974,0.5376465072667604,0.7521972976518431,0.6270778652668416,0.7468912731676537,1.037561323034928,"{""model__var_smoothing"": 1e-09}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\NaiveBayes__smote_class_weight__gridsearch_best.joblib
