strategy,trial,params,valid_auc,valid_logloss,valid_f1,valid_stage_score,weights_json
weighted_blend,6242,,0.8576026692629451,0.43520488890657827,0.6807103966813586,0.6550658065305442,"[0.15282811429251206, 0.10455854240691155, 0.6139431086113112, 0.06242088737531166, 0.050258606277665326, 0.010843884481259499, 0.005146856555028798]"
weighted_blend,2661,,0.8574997016710733,0.435214550581863,0.6810138069618202,0.6550015873080423,"[0.014558242398404074, 0.06469089226383706, 0.7894013274312552, 0.07574649663499113, 0.04454420542914506, 0.006560180343527879, 0.00449865549883972]"
weighted_blend,6295,,0.8576153474254377,0.43519743976724357,0.6801141522895318,0.6549942624317969,"[0.17583715611698633, 0.014550511162368628, 0.640150395960089, 0.07618675124975519, 0.049016668831299015, 0.040781543525051256, 0.0034769731544504047]"
weighted_blend,3174,,0.8575967876411703,0.43528553256129277,0.6804484479294926,0.6549641820376892,"[0.11722535411474877, 0.24426943262864623, 0.5772380268239623, 0.006820773519666541, 0.013164716424076588, 0.029562993989349223, 0.011718702499550199]"
weighted_blend,108,,0.8575879085706688,0.4353370383465386,0.6805861755933083,0.654939908067088,"[0.18253083443021323, 0.24092505368703446, 0.4779746155339972, 0.0009371586257363781, 0.020707378282106077, 0.07023767114595204, 0.0066872882949606475]"
weighted_blend,1812,,0.8576570590157135,0.43522610044662213,0.679162072767365,0.6548730996181829,"[0.32146684510822765, 0.13022924440005737, 0.4401558395840697, 0.04105328901373623, 0.04513093952670138, 0.0173359845907971, 0.004627857776410542]"
weighted_blend,2081,,0.8575420842019073,0.4354056600457754,0.6804844873372627,0.654830795270454,"[0.07523215642399442, 0.10561941739128623, 0.5678628993403867, 0.16666718393927527, 0.005278480463274692, 0.07358783706570195, 0.005752025376080589]"
weighted_blend,3553,,0.8574935847844275,0.4352853665443544,0.6802385892116183,0.6548296165851222,"[0.005676067692318848, 0.06318319857943701, 0.728943163607606, 0.11720394185848804, 0.05998363355935726, 0.022517510475044952, 0.0024924842277479747]"
weighted_blend,5445,,0.8575618551645845,0.4356448893479845,0.681338597967506,0.6548112223161212,"[0.5486364988780434, 0.08898860549891395, 0.1868684458761529, 0.11995673914652762, 0.018182399003757056, 0.02698882633928135, 0.0103784852573236]"
weighted_blend,1586,,0.8575896774139581,0.4353587703621122,0.679774187268834,0.6548046662508047,"[0.2241495888453266, 0.13049290228368218, 0.5110907685459087, 0.03883711190995428, 0.06836552896096673, 0.019154958611714224, 0.007909140842447293]"
weighted_blend,83,,0.8575241169365745,0.4353900012641101,0.6803374432186892,0.6548017325345008,"[0.09002346071192646, 0.00839922208597651, 0.6513360084573292, 0.1218087635564575, 0.04579210663906983, 0.07802189396237393, 0.004618544586866651]"
weighted_blend,4726,,0.857559824915883,0.4356280790250304,0.6811021069692058,0.6547854856437425,"[0.1318085604716122, 0.05636298155727435, 0.6485452158895438, 0.07410484350426967, 0.06083929325849824, 0.004817114909838718, 0.02352199040896307]"
weighted_blend,2405,,0.8575356536287666,0.4356839019113443,0.6813471502590673,0.6547589948296857,"[0.47120108543406103, 0.018510250818823442, 0.2516295105015351, 0.16343390689628795, 0.0287706465067911, 0.05828559775250335, 0.008169002089997962]"
weighted_blend,1407,,0.8576472388857281,0.43553672860951165,0.6798418972332015,0.6547478134440502,"[0.28078005991558785, 0.1536483879661156, 0.4425070862057855, 0.04888744862412661, 0.022146994469317765, 0.03238456414303301, 0.01964545867603358]"
weighted_blend,5095,,0.8575046335198504,0.43548053943069914,0.6805016808895785,0.6547435080517978,"[0.2050454906175466, 0.21490294844032357, 0.3328396344835267, 0.2365154149143538, 0.002446547711235949, 0.006422999076054745, 0.0018269647569586329]"
weighted_blend,6052,,0.8575616547537684,0.43554502587785937,0.6804096979126151,0.6547415913261592,"[0.40029445396653546, 0.1463289040519897, 0.2761199100118499, 0.06687636101879738, 0.008167276860937886, 0.09708619672119957, 0.00512689736869002]"
weighted_blend,1044,,0.8574723412379279,0.43563123650229607,0.6813272104003621,0.654729557246375,"[0.48433692655769206, 0.11885731579392861, 0.15840253860162015, 0.19146782574937365, 0.014264642949854347, 0.03196073875318623, 0.0007100115943449112]"
weighted_blend,784,,0.8576771872324543,0.43564742805818507,0.6798808135768882,0.654706109628258,"[0.25526811154592227, 0.006935668667800926, 0.6235498457710926, 0.049271106630860415, 0.015249468072915277, 0.017162633829442445, 0.03256316548196608]"
weighted_blend,1969,,0.8575293624718461,0.4353980066441717,0.6794663195574357,0.6546707057545412,"[0.24399435210010403, 0.0887005546812414, 0.4943826626558743, 0.0051553309334313145, 0.08910616458526785, 0.07804125102910062, 0.0006196840149803995]"
weighted_blend,2778,,0.8576505587344633,0.43571967028944014,0.6801320644785396,0.6546665992036361,"[0.22898141408428907, 0.19426473757135032, 0.5112169735468315, 0.018079400087066527, 0.0017415924088039136, 0.012094507106634558, 0.033621375195024165]"
weighted_blend,534,,0.857508511033465,0.4355391428666126,0.6802102940221977,0.654662655130166,"[0.5180983810939653, 0.1495785078836981, 0.19129678863800698, 0.05203105745852587, 0.06938143918522424, 0.01879453656590669, 0.0008192891746729625]"
weighted_blend,5424,,0.8574839127841755,0.43554163518059524,0.680354945268476,0.6546580099480303,"[0.16552052299350056, 0.08399027539895705, 0.44601273873237196, 0.23204432102718717, 0.06018496457112492, 0.008489085909105635, 0.00375809136775272]"
weighted_blend,324,,0.8576838007893833,0.4358149379556758,0.680225403199689,0.6546471547003636,"[0.3477835233628018, 0.020271957711417526, 0.48389699504892564, 0.09135774323981138, 0.018622829192762137, 0.0029753245369004734, 0.03509162690738102]"
weighted_blend,1765,,0.8575806937812916,0.4357359209715324,0.6804150453955902,0.6546278059105575,"[0.29976073581358365, 0.059712289509530385, 0.43958141623213276, 0.05425025073168685, 0.010144957543987768, 0.1183144288813301, 0.01823592128774856]"
weighted_blend,37,,0.8575882571112183,0.43567106941081835,0.6800233417623031,0.6546220097879909,"[0.2588921185831538, 0.12954791737015628, 0.4320578203698594, 0.055704087337080384, 0.014876959499562447, 0.09108777938035419, 0.0178333174598334]"
weighted_blend,2385,,0.8574823530652158,0.43560974859563784,0.6803161850460023,0.6546029568051697,"[0.0518143408413883, 0.306900758624593, 0.4912672934546258, 0.08974611079838944, 0.041424930130422394, 0.0044748349966044635, 0.014371731153976568]"
weighted_blend,6324,,0.8574253579718389,0.43547829636792074,0.6799168615224733,0.6545780797426655,"[0.01011820934412658, 0.16554569383279916, 0.603459742840274, 0.07022147021140757, 0.08417705284412659, 0.06556514095635772, 0.0009126899709082491]"
