trial,balance_strategy,params,auc_mean,auc_std,logloss_mean,logloss_std,f1_mean,f1_std,stage_score,rank_within_balance_strategy,model,error,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,metric_error
309,adasyn,"{'C': np.float64(0.004409857842688898), 'penalty': 'l2', 'solver': 'saga', '__balance_strategy': 'adasyn'}",0.8444512836009485,0.003095042164848355,0.49685899024749675,0.004579974674113827,0.6954491056665656,0.00423912913477843,0.6007210046759609,1,log_reg,,0.7520504466766802,0.0042950887458895505,0.5923163675442124,0.005031371257521927,0.842089126425869,0.0029854129959225695,
305,adasyn,"{'C': np.float64(0.004323023713567179), 'penalty': 'l2', 'solver': 'saga', '__balance_strategy': 'adasyn'}",0.8444518621821869,0.003095026365571571,0.4968605957083328,0.004579052750638923,0.6954400726403599,0.004251600031419507,0.6007191237091167,2,log_reg,,0.7520315491579245,0.004305614797677511,0.5922893848866088,0.005042211654747604,0.8421172321032158,0.0030025543087036427,
327,adasyn_classweights,"{'C': np.float64(0.04742150937660549), 'penalty': 'l1', 'solver': 'liblinear', '__balance_strategy': 'adasyn_classweights'}",0.8444716168047991,0.003091833716834037,0.502570852102323,0.004819038548953934,0.6959653316588641,0.003993375719093284,0.5968158476251818,1,log_reg,,0.7498393898402399,0.004156584866205274,0.5884015782176054,0.004792162980363071,0.851673963524339,0.0025534450531644187,
333,adasyn_classweights,"{'C': np.float64(0.3047144781045739), 'penalty': 'l1', 'solver': 'saga', '__balance_strategy': 'adasyn_classweights'}",0.8444018789263645,0.0030932133811026703,0.5024721641343106,0.004816175518289395,0.6958969196940995,0.003947002326501841,0.5968049178070411,2,log_reg,,0.7497921455076458,0.004098410986461068,0.5883571647852718,0.004720041385211772,0.8515615218534558,0.0025938968716128783,
14,base,"{'C': 0.009499595830678125, 'penalty': 'l1', 'solver': 'liblinear', '__balance_strategy': 'base'}",0.8458494307033696,0.0032214771179978007,0.45291220360939666,0.004061011330569821,0.6521591839032397,0.0034180757075171716,0.6263924716797665,1,log_reg,,0.7722050173874422,0.002832439594925815,0.6700524918917529,0.005491519071594832,0.6352139107981074,0.0026352114547336125,
15,base,"{'C': 0.009860811573783315, 'penalty': 'l1', 'solver': 'liblinear', '__balance_strategy': 'base'}",0.845846970013151,0.003220378055257367,0.45290831755485766,0.0040614160999470445,0.6521405352545507,0.00339298294399409,0.6263899807881714,2,log_reg,,0.7721861198686865,0.002829886180066277,0.6700133317330574,0.005503641744253387,0.6352139107981074,0.002575154744810816,
314,classweights,"{'C': np.float64(0.007448254536074485), 'penalty': 'l1', 'solver': 'saga', '__balance_strategy': 'classweights'}",0.8456646527747554,0.0032153881137200056,0.4878927382464144,0.005245711777219889,0.6960261278909989,0.004860974520713992,0.608277971544685,1,log_reg,,0.7591182767242292,0.004758185794928209,0.6044648798993294,0.005892046453757301,0.8203053966977228,0.0036476376680156363,
317,classweights,"{'C': np.float64(1.1319909882083723), 'penalty': 'l1', 'solver': 'saga', '__balance_strategy': 'classweights'}",0.8455855142483829,0.003161024498194956,0.4880111622093521,0.00523608255331544,0.6958947549198163,0.004991249724310199,0.6080991410638328,2,log_reg,,0.7591182777956385,0.004779912824402837,0.6045382373343711,0.005852055956215883,0.8197995039862279,0.0037144632764196744,
296,smote,"{'C': np.float64(0.004656859476795117), 'penalty': 'l1', 'solver': 'saga', '__balance_strategy': 'smote'}",0.845649088621279,0.0032541744612976154,0.4872176827245193,0.005326415803160945,0.6955828293152005,0.004631500846710084,0.6086648980722674,1,log_reg,,0.7596474222491226,0.0045875195706763135,0.6057150452775957,0.005780167777400998,0.8167918789050609,0.003325790270854994,
301,smote,"{'C': np.float64(0.05321826174156738), 'penalty': 'l1', 'solver': 'liblinear', '__balance_strategy': 'smote'}",0.8455599641655542,0.0031931341160327384,0.48749823753207405,0.005320908304680324,0.6956067816937944,0.0045758266867322,0.6083861402752764,2,log_reg,,0.7597419034144454,0.0044799008893166405,0.6058712203704718,0.005587151878478883,0.8165670477074082,0.003001588362680329,
