model,balance_strategy,valid_auc,valid_logloss,valid_f1,valid_stage_score,test_auc,test_logloss,test_f1,params
lightgbm,base,0.8573789410841431,0.43546196662662745,0.679777461508604,0.6545221836717946,0.8456395019590637,0.4500820499368967,0.6652454780361757,"{'bagging_fraction': 0.6119120988195819, 'feature_fraction': 0.7680171374179768, 'learning_rate': 0.06204434106627703, 'min_child_samples': 64, 'min_split_gain': 0.34023449159754854, 'num_leaves': 23, 'reg_lambda': 0.6629425345928486, '__balance_strategy': 'base'}"
catboost,base,0.8568776395683795,0.43628045659532283,0.6811594202898551,0.6536552329951317,0.8455559895284273,0.4506672800075927,0.6653373641216955,"{'depth': 6, 'l2_leaf_reg': 8.391591857858911, 'learning_rate': 0.07717903085115367, 'random_strength': 0.07820383388652569, '__balance_strategy': 'base'}"
xgboost,base,0.8554663640289073,0.4372780489758256,0.673985060084443,0.6504694887584959,0.8442098062612675,0.4519944807579491,0.6627012348871791,"{'colsample_bytree': 0.7163700117138441, 'gamma': 1.773444122640711, 'learning_rate': 0.11829732745654534, 'max_depth': 4, 'min_child_weight': 2, 'reg_lambda': 0.01208092619163048, 'subsample': 0.9651504321266501, '__balance_strategy': 'base'}"
random_forest,base,0.8552332601093205,0.43859182073960135,0.6798061389337642,0.6501899064316643,0.8434934489941219,0.45256542408108896,0.6601879263740507,"{'max_depth': 9, 'max_features': 0.5388091141240144, 'min_samples_leaf': 3, 'min_samples_split': 25, '__balance_strategy': 'base'}"
log_reg,base,0.8493843619353115,0.44866620679142466,0.6613824141868745,0.6345253793093455,0.839517876565221,0.4606784407359326,0.643058728665502,"{'C': 0.009499595830678125, 'penalty': 'l1', 'solver': 'liblinear', '__balance_strategy': 'base'}"
knn,base,0.8468241311875262,0.44978595289734274,0.6566446181599519,0.6304706568833791,0.8350375921376778,0.46588883419818716,0.6430325964283343,"{'n_neighbors': 136, 'p': 1, 'weights': 'distance', '__balance_strategy': 'base'}"
adaboost,base,0.8509499581598854,0.5146798453325877,0.6701152435830278,0.5911913529645282,0.8407798634806339,0.519521061522462,0.6539537910836316,"{'learning_rate': 0.16465721447150078, '__balance_strategy': 'base'}"
naive_bayes,base,0.819175568283385,1.0873320240262019,0.6789189189189189,0.15988098930288153,0.8089393193826204,1.1569528571930243,0.6670078471511429,"{'var_smoothing': 1e-06, '__balance_strategy': 'base'}"
