model,strategy,method,cal_logloss,cal_ece,cal_auc,cal_f1,logloss_rank,ece_rank,avg_rank
stack_meta,weighted_blend,base,0.435610011825793,0.012755486104714702,0.8566715400439078,0.6804443296305864,1.0,2.0,1.5
stack_meta,weighted_blend,isotonic,0.4405705106381078,0.011098371063598225,0.8562018338045442,0.6843575418994413,3.0,1.0,2.0
stack_meta,weighted_blend,venn_abers,0.44038928575539227,0.013456149789157086,0.8563561427000703,0.6847715736040609,2.0,3.0,2.5
stack_meta,weighted_blend,platt,0.4430493355089631,0.03598995528820243,0.8566715400439078,0.6729021209326834,4.0,4.0,4.0
