name,likely_temporary
randint,False
random,False
raw_bp_cols,False
raw_var_audit_df,False
raw_var_audit_path,False
raw_vars,False
recall_score,False
refine_candidates,False
requested_remove,False
resolve_data_path,False
review_bits,False
review_flag,False
rng,False
roc_auc_score,False
rows,True
rule,False
run_manifest,False
runtime_names_path,False
runtime_path,False
runtime_var_df,False
runtime_var_names,False
runtime_var_names_df,False
runtime_var_rows,False
safe_predict_proba,False
sample_stage1_params,False
sbp,False
sbp_col,False
selected_final_params,False
shap,False
shap_available,False
shap_df,False
shap_path,False
shap_values,False
smoke_alcohol_feature,False
smoke_metrics,False
smoke_params,False
smoking_feature,False
smoking_sources,False
solver,False
stack_base_pool,False
stack_cal_df,False
stack_cal_path,False
stack_cal_rows,False
stack_members,False
stack_metrics,False
stack_search_df,False
stack_search_path,False
stack_strategy,False
stack_strategy_details,False
stack_test_probs,False
stage1_results,False
stage1_summary,False
stage1_top_params,False
stage2_results,False
stage2_summary,False
stage_score,False
summary_path,False
suspect_kept_df,False
suspect_path,False
sv,True
target_col,False
te_hash,False
test_met,False
to_numeric_clean,False
top_list,False
tr_hash,False
train_base,False
train_base_before_id_drop,False
train_test_split,False
train_uniq_ratio,False
trials,False
uniform,False
uniq_ratio,False
v,True
va_hash,False
valid_met,False
valid_score,False
value,False
var_audit_path,False
var_list_df,False
var_list_path,False
variable_audit_df,False
venn_abers_calibration,False
venn_available,False
warnings,False
weight,False
weights,False
x_lc,False
xgb_available,False
y,True
y_eval,False
y_fit,False
y_raw,False
y_test,False
y_tmp,False
y_train,False
y_valid,False
