strategy,trial,params,valid_auc,valid_logloss,valid_f1,valid_stage_score,weights_json
weighted_blend,1488,,0.829899842951985,0.46226487288269197,0.6730605803083647,0.6072735189803553,"[0.22101408594634653, 0.189395210266376, 0.471800505217355, 0.1052601793918302, 0.0064763241498285865, 0.00605369502826369]"
weighted_blend,498,,0.8298878880111331,0.46226538486175633,0.6730174139918694,0.6072547307066841,"[0.33022610549431786, 0.17649664723944392, 0.3611017055941582, 0.12214666697514304, 0.0008774583889587021, 0.009151416307978118]"
weighted_blend,2122,,0.8298856224975605,0.4623059876624964,0.6728994657600778,0.6072063509978247,"[0.30054982068794983, 0.16415476663041037, 0.49469615454789134, 0.007648327598181983, 0.014626169483187497, 0.018324761052379117]"
weighted_blend,976,,0.8298550380643313,0.4623461672875911,0.6731270062382654,0.6071817718987573,"[0.3683771886498724, 0.05064174021113691, 0.531696477791705, 0.01545510985881232, 0.002432518840601092, 0.03139696464787202]"
weighted_blend,2552,,0.8298262050473638,0.46235282151338053,0.6730944151355285,0.6071433922583267,"[0.4120544363767946, 0.08399632264926384, 0.3697390629517038, 0.10645220263760462, 0.0021198986346923727, 0.02563807674994069]"
weighted_blend,2679,,0.8298342999016288,0.4623092414650582,0.6726500909642208,0.6071153445207211,"[0.4800393718380482, 0.14558960862896406, 0.28533575047098564, 0.07818627814277546, 0.006912832068820965, 0.003936158850405829]"
weighted_blend,186,,0.8298007964412965,0.46235678148369025,0.6725868256188796,0.6070390732455452,"[0.10850191661756631, 0.12251438702998105, 0.5851358735673009, 0.17109779855366442, 0.012676887927267974, 7.313630421917226e-05]"
weighted_blend,980,,0.8298933600977623,0.462255793141152,0.6712988358627415,0.6070091302783671,"[0.14808258281804848, 0.450692688691334, 0.3095804154780447, 0.0654373398550023, 0.005216506673380457, 0.02099046648419007]"
weighted_blend,2667,,0.8297808424948308,0.4623877266685568,0.6725943970767357,0.6069985933883514,"[0.1046066261198616, 0.12775488703858978, 0.5349889830706619, 0.20929280383169757, 0.013629545923156879, 0.009727154016032264]"
weighted_blend,1526,,0.8296815432922434,0.462473177233565,0.673264921974619,0.6069400575249408,"[0.034883474318576746, 0.11548073876758586, 0.7994828247373649, 0.026589978578900917, 0.007530061118320616, 0.01603292247925089]"
weighted_blend,934,,0.8297731571757115,0.46243305037940663,0.6724148400024288,0.6069322479104912,"[0.538871447522875, 0.033256541618220385, 0.3821658480737313, 0.0029496110131993374, 0.02718184824930885, 0.015574703522664999]"
weighted_blend,2691,,0.8297432175424989,0.46240914528565263,0.6721890607869412,0.6068851749605833,"[0.06039344789760222, 0.12313121053986116, 0.6089254982491005, 0.18381709530101162, 0.006326360308049642, 0.01740638770437499]"
weighted_blend,2900,,0.8297635461700557,0.46237966735247216,0.6718873307837067,0.6068808786408812,"[0.5343501982821299, 0.16081853190987402, 0.20376622096792446, 0.08197698765044785, 0.005043719305339723, 0.01404434188428403]"
weighted_blend,1634,,0.8298433183883502,0.4623092284976228,0.6710181174891722,0.60687957606339,"[0.10139698999807914, 0.3150684371387889, 0.3690047295934703, 0.194730289838683, 0.015381592367086765, 0.004417961063891871]"
weighted_blend,1963,,0.8298186504309508,0.4623177830871507,0.6711711711711712,0.606871877945621,"[0.3579775614662094, 0.2358623904138768, 0.23821035743819385, 0.1511543434009994, 0.005167092434062762, 0.011628254846657842]"
weighted_blend,529,,0.8297802848299511,0.4623950410659206,0.6717036314891542,0.6068593008071799,"[0.04348192869324676, 0.28499280630023766, 0.5909201672432319, 0.03285407992097039, 0.011133149883556143, 0.03661786795875709]"
weighted_blend,658,,0.8298066432090163,0.46244467321367577,0.6716217862800049,0.606838639901444,"[0.29704452771532397, 0.14477724590131813, 0.4539900755813775, 0.040748865454635845, 0.02765998872009502, 0.03577929662724975]"
weighted_blend,1403,,0.8297452826452555,0.4624714913805458,0.6720544449170566,0.6068234054164319,"[0.36417989465212036, 0.009649622603368041, 0.37070454807819647, 0.21377943000918442, 0.0009533828581433179, 0.04073312179898728]"
