model,valid_auc,valid_logloss,valid_f1,valid_stage_score,test_auc,test_logloss,test_f1,params
random_forest,0.8291601048462255,0.4627969257238296,0.6731152892811801,0.6061695502317218,0.8178585567504668,0.4765218561106669,0.657701121698227,"{'class_weight': None, 'max_depth': 5, 'max_features': 0.9435910050772784, 'min_samples_leaf': 3, 'min_samples_split': 8}"
lightgbm,0.8297562703860824,0.4626827445007184,0.6678527607361964,0.6060562633460089,0.8183335160027085,0.47554471972650975,0.6525091799265605,"{'bagging_fraction': 0.553264005645652, 'feature_fraction': 0.9013092561620157, 'learning_rate': 0.08523250517767571, 'min_child_samples': 25, 'min_split_gain': 1.7162686936799525, 'num_leaves': 17, 'reg_lambda': 2.577733337118472}"
catboost,0.8297665000512138,0.46278352129559597,0.6674484631526972,0.6059353046172012,0.8184348147384042,0.47564532169540463,0.6491195551436515,"{'depth': 5, 'l2_leaf_reg': 16.848715461407302, 'learning_rate': 0.10345320771733331, 'random_strength': 0.25186920908541177}"
xgboost,0.8287163299481768,0.4637462784040734,0.6689365841794856,0.6044344226922482,0.8178470912704483,0.47644661804664495,0.6525624658033923,"{'colsample_bytree': np.float64(0.991975754498246), 'gamma': np.float64(1.5499076738130428), 'learning_rate': np.float64(0.0856404607008186), 'max_depth': 3, 'min_child_weight': 5, 'reg_lambda': np.float64(10.746840958956048), 'subsample': np.float64(0.8348956557729706)}"
log_reg,0.8243646922672315,0.4855284337813007,0.6061450567825541,0.5754165471377042,0.8146085592770543,0.4955192498202719,0.592762381051608,"{'C': 0.0070439244589380005, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}"
adaboost,0.8259023006856707,0.5172901298714708,0.6521269154956444,0.5616182470999878,0.815422338274874,0.5224303281792504,0.637970498474059,{'learning_rate': np.float64(0.1467409596089374)}
knn,0.8108778372780063,0.4873777109882668,0.6040086673889491,0.5603147396945619,0.8043102755792594,0.4935256366681873,0.5963794155535969,"{'n_neighbors': 140, 'p': 1, 'weights': 'uniform'}"
naive_bayes,0.7771568658588978,0.7798574000187286,0.6220083734299818,0.324557941860285,0.7754077389550661,0.783755072937093,0.6150778816199377,{'var_smoothing': 1.1244779162047178e-06}
