iter	Passed	Remaining
405	6215	10363
406	6221	10334
407	6228	10304
408	6235	10275
409	6242	10246
410	6303	10305
411	6309	10276
412	6316	10246
413	6322	10217
414	6329	10187
415	6336	10159
416	6342	10130
417	6403	10186
418	6409	10156
419	6415	10126
420	6421	10097
421	6427	10067
422	6433	10037
423	6439	10008
424	6500	10063
425	6506	10035
426	6513	10006
427	6519	9977
428	6526	9948
429	6532	9920
430	6538	9891
431	6600	9947
432	6607	9918
433	6614	9890
434	6620	9862
435	6627	9834
436	6633	9805
437	6639	9777
438	6701	9831
439	6708	9803
440	6714	9775
441	6720	9746
442	6727	9719
443	6733	9691
444	6795	9742
445	6801	9714
446	6808	9686
447	6814	9659
448	6821	9631
449	6827	9603
450	6833	9575
451	6894	9625
452	6901	9597
453	6908	9570
454	6914	9543
455	6921	9516
456	6928	9491
457	6935	9464
458	6995	9509
459	7001	9482
460	7007	9455
461	7014	9428
462	7020	9401
463	7027	9374
464	7033	9347
465	7095	9394
466	7102	9368
467	7108	9341
468	7114	9314
469	7121	9287
470	7127	9260
471	7133	9234
472	7194	9278
473	7201	9252
474	7207	9225
475	7214	9199
476	7220	9172
477	7226	9146
478	7232	9119
479	7294	9163
480	7300	9137
481	7307	9111
482	7313	9085
483	7319	9058
484	7325	9032
485	7332	9006
486	7391	9045
487	7397	9019
488	7404	8993
489	7409	8967
490	7416	8941
491	7422	8916
492	7429	8890
493	7490	8930
494	7496	8905
495	7503	8879
496	7509	8854
497	7516	8829
498	7522	8804
499	7528	8778
500	7589	8816
501	7595	8791
502	7602	8765
503	7608	8740
504	7614	8715
505	7620	8690
506	7627	8665
507	7686	8700
508	7693	8675
509	7699	8650
510	7705	8625
511	7711	8600
512	7718	8575
513	7724	8550
514	7730	8526
515	7789	8559
516	7796	8534
517	7802	8510
518	7809	8486
519	7815	8462
520	7822	8437
521	7828	8413
522	7887	8445
523	7893	8420
524	7899	8395
525	7904	8370
526	7911	8346
527	7917	8322
528	7923	8297
529	7983	8330
530	7990	8306
531	7996	8282
532	8002	8257
533	8009	8234
534	8015	8210
535	8021	8186
536	8027	8161
537	8086	8192
538	8093	8168
539	8099	8144
540	8105	8120
541	8112	8097
542	8118	8073
543	8124	8049
544	8184	8079
545	8190	8055
546	8196	8031
547	8202	8007
548	8208	7984
549	8214	7960
550	8220	7936
551	8281	7966
552	8287	7942
553	8294	7920
554	8300	7896
555	8306	7873
556	8313	7850
557	8319	7827
558	8381	7856
559	8387	7833
560	8393	7810
561	8400	7787
562	8406	7764
563	8412	7741
564	8418	7718
565	8480	7746
566	8488	7724
567	8494	7702
568	8500	7679
569	8507	7656
570	8514	7634
571	8519	7611
572	8580	7636
573	8586	7614
574	8592	7591
575	8599	7569
576	8605	7546
577	8611	7524
578	8617	7501
579	8678	7526
580	8685	7504
581	8691	7482
582	8698	7460
583	8705	7438
584	8711	7416
585	8718	7394
586	8780	7419
587	8787	7397
588	8793	7375
589	8800	7353
590	8807	7331
591	8813	7310
592	8874	7333
593	8881	7311
594	8887	7289
595	8894	7267
596	8901	7246
597	8908	7224
598	8914	7203
599	8975	7225
600	8983	7204
601	8989	7182
602	8996	7161
603	9003	7139
604	9009	7118
605	9016	7097
606	9077	7118
607	9085	7097
608	9092	7076
609	9098	7055
610	9105	7034
611	9112	7013
612	9174	7034
613	9182	7013
614	9188	6992
615	9195	6971
616	9202	6950
617	9209	6929
618	9271	6950
619	9278	6928
620	9284	6907
621	9290	6885
622	9296	6864
623	9302	6842
624	9308	6821
625	9314	6799
626	9373	6817
627	9379	6795
628	9385	6774
629	9391	6752
630	9397	6731
631	9403	6710
632	9408	6688
633	9414	6667
634	9474	6684
635	9480	6663
636	9486	6642
637	9492	6621
638	9499	6600
639	9505	6579
640	9510	6557
641	9570	6574
642	9576	6553
643	9582	6532
644	9588	6510
645	9594	6490
646	9599	6469
647	9606	6448
648	9612	6427
649	9673	6443
650	9679	6423
651	9685	6402
652	9691	6382
653	9697	6361
654	9703	6340
655	9709	6319
656	9769	6334
657	9775	6313
658	9781	6293
659	9787	6272
660	9793	6252
661	9799	6231
662	9805	6211
663	9810	6190
664	9870	6204
665	9876	6184
666	9883	6164
667	9889	6143
668	9894	6123
669	9900	6102
670	9905	6082
671	9911	6062
672	9970	6074
673	9976	6054
674	9982	6034
675	9988	6014
676	9994	5994
677	10000	5973
678	10006	5953
679	10066	5965
680	10072	5945
681	10078	5925
682	10084	5905
683	10090	5885
684	10095	5865
685	10101	5845
686	10107	5825
687	10167	5837
688	10173	5817
689	10179	5797
690	10185	5778
691	10191	5758
692	10196	5738
693	10202	5718
694	10208	5698
695	10268	5709
696	10275	5690
697	10282	5671
698	10289	5652
699	10296	5633
700	10302	5614
701	10363	5624
702	10370	5605
703	10376	5586
704	10382	5567
705	10388	5547
706	10394	5528
707	10401	5509
708	10463	5519
709	10469	5500
710	10476	5481
711	10482	5462
712	10489	5443
713	10496	5424
714	10501	5405
715	10507	5386
716	10566	5393
717	10571	5374
718	10577	5355
719	10583	5335
720	10589	5316
721	10594	5297
722	10600	5278
723	10606	5259
724	10666	5266
725	10671	5247
726	10677	5228
727	10683	5209
728	10689	5190
729	10694	5171
730	10700	5152
731	10706	5133
732	10766	5140
733	10772	5121
734	10778	5103
735	10783	5084
736	10789	5065
737	10795	5046
738	10801	5028
739	10861	5034
740	10867	5015
741	10873	4997
742	10879	4978
743	10885	4959
744	10891	4941
745	10897	4922
746	10903	4904
747	10963	4909
748	10968	4891
749	10974	4872
750	10980	4854
751	10986	4835
752	10992	4817
753	10998	4798
754	11003	4780
755	11063	4785
756	11069	4766
757	11074	4748
758	11080	4730
759	11086	4711
760	11092	4693
761	11097	4675
762	11103	4656
763	11163	4661
764	11169	4642
765	11175	4624
766	11180	4606
767	11186	4588
768	11191	4569
769	11197	4551
770	11202	4533
771	11262	4537
772	11269	4519
773	11275	4501
