sampling,model,best_stage2_score,best_acc_cv,best_rec_cv,best_thr_cv
base,lightgbm,0.6980012158683908,0.8267062008677794,0.5083737025007232,0.3499999999999999
smote,lightgbm,0.7661252210822102,0.699139003954436,0.8894365013979116,0.3499999999999999
smotenc,lightgbm,0.7661318328546212,0.6991500276112032,0.8894365013979116,0.3499999999999999
cw,lightgbm,0.7696388094392785,0.7157186996675161,0.881027126863032,0.4666666666666666
smotecw,lightgbm,0.766131840683109,0.6991500276112032,0.8894365013979116,0.3499999999999999
smotencw,lightgbm,0.7661318451960618,0.6991500276112032,0.8894365013979116,0.3499999999999999
