rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
51,smote,catboost,platt,0.7739,0.6655,0.6631,0.6643,0.8463,0.4558,0.0234,0.7197
52,smotencw,catboost,venn_abers,0.7735,0.664,0.6628,0.6634,0.8465,0.4512,0.0116,0.71875
53,smotencw,catboost,isotonic,0.7735,0.6638,0.6628,0.6633,0.8465,0.4571,0.0119,0.71865
54,smotencw,catboost,platt,0.7736,0.6616,0.6639,0.6627,0.8466,0.4557,0.0259,0.7176
55,base,catboost,venn_abers,0.7735,0.6617,0.6636,0.6627,0.8461,0.4513,0.0092,0.7176
56,base,catboost,isotonic,0.7736,0.6615,0.6638,0.6626,0.8461,0.4535,0.0103,0.7175499999999999
57,smotenc,catboost,platt,0.7732,0.6618,0.663,0.6624,0.8467,0.4557,0.0262,0.7175
58,smotecw,catboost,platt,0.7732,0.6618,0.663,0.6624,0.8467,0.4557,0.0262,0.7175
59,smote,lightgbm,platt,0.7728,0.6621,0.6621,0.6621,0.8464,0.4563,0.0282,0.71745
60,smotenc,lightgbm,platt,0.7728,0.6621,0.6621,0.6621,0.8464,0.4563,0.0282,0.71745
61,smotecw,lightgbm,platt,0.7728,0.6621,0.6621,0.6621,0.8464,0.4563,0.0282,0.71745
62,smotencw,lightgbm,platt,0.7728,0.6621,0.6621,0.6621,0.8464,0.4563,0.0282,0.71745
63,base,catboost,platt,0.774,0.6583,0.6656,0.662,0.8463,0.4567,0.025,0.7161500000000001
64,cw,logreg,platt,0.7684,0.6575,0.655,0.6562,0.8406,0.4617,0.0245,0.71295
65,smote,logreg,platt,0.7681,0.6569,0.6545,0.6557,0.8406,0.4619,0.0256,0.7125
66,smotenc,logreg,platt,0.7681,0.6569,0.6545,0.6557,0.8406,0.4619,0.0256,0.7125
67,smotecw,logreg,platt,0.7681,0.6569,0.6545,0.6557,0.8406,0.4619,0.0256,0.7125
68,smotencw,logreg,platt,0.7681,0.6569,0.6545,0.6557,0.8406,0.4619,0.0256,0.7125
69,base,lightgbm,platt,0.773,0.6504,0.6663,0.6582,0.8472,0.456,0.0314,0.7117
70,base,logreg,isotonic,0.7676,0.6428,0.658,0.6503,0.8394,0.4594,0.0092,0.7052
71,base,logreg,venn_abers,0.7676,0.6428,0.658,0.6503,0.8394,0.4593,0.0091,0.7052
72,base,logreg,platt,0.7672,0.6167,0.666,0.6404,0.8396,0.4666,0.0387,0.6919500000000001
