sampling,model,best_stage1_score,best_acc_cv,best_rec_cv
base,lightgbm,0.692132003455182,0.8260337517498901,0.4957588889987812
smote,lightgbm,0.7609193920764425,0.7478310568864768,0.7913436652574659
smotenc,lightgbm,0.760919342317091,0.7478310568864768,0.7913436652574659
cw,lightgbm,0.7734929502777635,0.7256181167731538,0.86275671699959
smotecw,lightgbm,0.7609194095766928,0.7478310568864768,0.7913436652574659
smotencw,lightgbm,0.7609193926703822,0.7478310568864768,0.7913436652574659
