feature,n_categories,chi2_p_value,cramers_v
anthro_group,4,0.0,0.16731935504487525
psc,6,0.0,0.1467560674688277
sex,2,6.590872061332794e-255,0.1115720802766492
sex_anthro,2,6.590872061332794e-255,0.1115720802766492
smoke_status,4,6.653482860417848e-31,0.039190687142309125
ever_smk,7,7.726780127745895e-27,0.038124199910748176
Smoking_Level,3,1.3395732714264972e-27,0.036394883950499834
Alcohol_Level,3,9.041610462161615e-26,0.03513433260583042
