sampling,model,best_stage2_score,best_acc_cv,best_rec_cv,best_thr_cv
base,naive_bayes,0.7111238080828198,0.7090933751297958,0.7930110032297542,0.3499999999999999
smote,naive_bayes,0.6921544664218324,0.7138227838250538,0.7545827761352136,0.39999999999999997
smotenc,naive_bayes,0.6921544664218324,0.7138227838250538,0.7545827761352136,0.39999999999999997
cw,naive_bayes,0.7111238080828202,0.7090933751297958,0.7930110032297542,0.3499999999999999
smotecw,naive_bayes,0.6921544664218372,0.7138227838250538,0.7545827761352136,0.39999999999999997
smotencw,naive_bayes,0.6921544664218372,0.7138227838250538,0.7545827761352136,0.39999999999999997
