strategy,trial,params,valid_auc,valid_logloss,valid_f1,valid_stage_score,weights_json
weighted_blend,5095,,0.8301403490014945,0.4624888665356008,0.6692005885237862,0.6067782307051419,"[0.2050454906175466, 0.21490294844032357, 0.3328396344835267, 0.2365154149143538, 0.002446547711235949, 0.006422999076054745, 0.0018269647569586329]"
weighted_blend,3519,,0.8301246036821653,0.4624627719507809,0.6681807021851215,0.6066277686443869,"[0.24011819848762211, 0.37182422156437445, 0.2461050068594568, 0.12030136659287712, 2.5259080878051777e-05, 0.0026136610358199796, 0.01901228637897155]"
weighted_blend,1044,,0.8299913435597744,0.4628237728307287,0.6696439495901138,0.6064612950167815,"[0.48433692655769206, 0.11885731579392861, 0.15840253860162015, 0.19146782574937365, 0.014264642949854347, 0.03196073875318623, 0.0007100115943449112]"
weighted_blend,4300,,0.8299069575359542,0.4625520549078337,0.6687094006618458,0.6064269291997476,"[0.5103502854855932, 0.24731218582903228, 0.06785375000257479, 0.128724538163156, 0.009637489963475342, 0.002502880882344738, 0.0336188696738234]"
weighted_blend,5644,,0.8298837098812946,0.4626530485069777,0.6689942423128752,0.6063757122733415,"[0.434569175548907, 0.1174376880431848, 0.019638234600874785, 0.3644206938252753, 0.00899287546598684, 0.0004931091034455579, 0.054448223412325636]"
weighted_blend,1859,,0.829845840950578,0.4626264274036122,0.6689955261383833,0.606356670688807,"[0.6001728752283065, 0.06370283850553474, 0.0943646971715433, 0.19195200048904246, 0.024303252399561513, 0.007667193517499459, 0.017837142688512112]"
weighted_blend,2336,,0.8300245812579378,0.4625367684765339,0.6670358747154022,0.6063042245316743,"[0.2668586708584409, 0.4684085717052234, 0.14654997952121787, 0.0733594065250729, 0.008282096123598648, 0.0006062430767448997, 0.03593503218970152]"
weighted_blend,4605,,0.8299342482609896,0.46278049057386367,0.6687530682376043,0.6063008650949256,"[0.44630635180009276, 0.027926016191686425, 0.14565228296216126, 0.3131907618632626, 0.025766746642169318, 0.017159539492923127, 0.0239983010477046]"
weighted_blend,4170,,0.8300984544274299,0.4628862246186355,0.6681405060181773,0.6062991730971116,"[0.17894069739635618, 0.5252632705536244, 0.1580176610053337, 0.09073852076437146, 0.00045961119329973214, 0.03599066127004775, 0.010589577816966782]"
weighted_blend,5560,,0.8300304105986301,0.46294327435711247,0.6687937170204933,0.6062891761017254,"[0.23639525982977316, 0.2422200491715574, 0.14851110774066764, 0.30773562526696135, 0.011339244220435077, 0.032081203456844856, 0.021717510313760666]"
