model_name,strategy,use_class_weight,sampler,cv_requested_folds,cv_folds_used,cv_best_f1,cv_best_auc,cal_accuracy,cal_precision,cal_recall,cal_f1,cal_auc,cal_logloss,best_params,model_path
ExtraTrees,adasyn,False,adasyn,30,30,0.6829652974683749,0.8169092014932978,0.7250639386189258,0.5594381637547106,0.8568804932441296,0.6769262656096171,0.8133335232879328,0.5324202898675338,"{""model__max_depth"": 14, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\ExtraTrees__adasyn__gridsearch_best.joblib
ExtraTrees,base,False,none,30,30,0.5953223575405422,0.8184412733153248,0.7384249051944616,0.6261751977316818,0.5504394595303687,0.5858698687517453,0.8142204500677976,0.4917712377254545,"{""model__max_depth"": 14, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\ExtraTrees__base__gridsearch_best.joblib
LightGBM,class_weight,True,none,30,30,0.6855938898707802,0.8224924600983825,0.7361760296322427,0.5725535303486109,0.8488783943329398,0.6838573315719947,0.8203841849202799,0.5068064001538547,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LightGBM__class_weight__gridsearch_best.joblib
LightGBM,adasyn_class_weight,True,adasyn,30,30,0.6797401016780601,0.8208627152401164,0.7388217655877943,0.577867350677904,0.8274957365866457,0.6805113544419872,0.8166569271366833,0.49347138557708975,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LightGBM__adasyn_class_weight__gridsearch_best.joblib
LightGBM,adasyn,False,adasyn,30,30,0.6805095647596445,0.8210681546391844,0.7412911191463092,0.5818571694946858,0.8187065459792733,0.6802550547713772,0.8172505265467433,0.4897081028660731,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LightGBM__adasyn__gridsearch_best.joblib
LightGBM,smote,False,smote,30,30,0.6777390403275173,0.8212365008329017,0.7423053179292707,0.5835603569751057,0.814902269447724,0.6800963433326035,0.8174972888991185,0.4935367219464058,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LightGBM__smote__gridsearch_best.joblib
LightGBM,smote_class_weight,True,smote,30,30,0.6777390403275173,0.8212365008329017,0.7423053179292707,0.5835603569751057,0.814902269447724,0.6800963433326035,0.8174972888991185,0.4935367219464058,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LightGBM__smote_class_weight__gridsearch_best.joblib
LightGBM,base,False,none,30,30,0.6492898246250787,0.822011800372619,0.7520945409648118,0.6157852100451336,0.6980191525646071,0.6543285784554845,0.8200456169871345,0.47203761240517,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LightGBM__base__gridsearch_best.joblib
LogReg,adasyn_class_weight,True,adasyn,30,30,0.6798086732233711,0.8220576387454582,0.7397036775729782,0.581254724111867,0.807031352485898,0.6757840391058384,0.8170247811895105,0.5414718292766635,"{""model__C"": 0.5}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LogReg__adasyn_class_weight__gridsearch_best.joblib
LogReg,adasyn,False,adasyn,30,30,0.678781281914866,0.8220416684490639,0.741467501543346,0.5854534861138085,0.7908959727141546,0.6728419173037219,0.8169945322265602,0.5347703860606935,"{""model__C"": 0.5}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LogReg__adasyn__gridsearch_best.joblib
