model_name,model_path,cal_accuracy,cal_precision,cal_recall,cal_f1,cal_auc,cal_logloss
CatBoost,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\CatBoost.joblib,0.735999647235206,0.5723637650389243,0.848747212383576,0.6836793997992286,0.8208595898732065,0.5075799874554903
XGBoost,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\XGBoost.joblib,0.7364406032277979,0.5739310097017607,0.8381214744851109,0.6813116502266062,0.8159830588380451,0.5107892712862471
LightGBM,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LightGBM.joblib,0.7348090660552077,0.5730235091222656,0.8281516463334645,0.6773605150214592,0.8141129601622943,0.5124931212504027
LogReg,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LogReg.joblib,0.7434077079107505,0.5893954410307235,0.7801390528663256,0.6714842206289167,0.817695913444834,0.5312705259187858
RandomForest,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\RandomForest.joblib,0.7222859158655967,0.5712442198085815,0.6968385150203332,0.627821770476303,0.78296838305896,0.6204444543746818
