score,label
0.0023364904,0
0.36947834,0
0.13611722,0
0.49101016,1
0.44989482,1
0.33075354,0
0.0046066283,0
0.6270262,1
0.0045529767,0
0.79323375,1
0.8576507,0
0.0046393857,0
0.31876767,0
0.78488815,0
0.7006615,0
0.034526885,0
0.23697838,0
0.0027484559,0
0.40214476,0
0.4877582,0
0.15482114,0
0.008290693,0
0.2152118,0
0.5125032,0
0.6287517,0
0.10154691,0
0.6183624,0
0.41080981,1
0.57894766,1
0.11619167,0
0.7058714,0
0.55533034,1
0.5293696,0
0.0033746636,0
0.7291571,1
0.5374832,0
0.6290993,0
0.093982145,0
0.6109616,0
0.59474206,0
0.23523381,0
0.78093743,0
0.30440998,0
0.8754501,0
0.33299342,0
0.24005443,0
0.1390101,0
0.42902938,0
0.60469455,0
0.008016152,0
0.28527233,0
0.06303779,0
0.44094062,0
0.0130474605,0
0.0051258537,0
0.015663568,0
0.42348832,0
0.41991112,0
0.5862388,0
0.034916956,0
0.0061020693,0
0.5771571,0
0.03581483,0
0.0039455756,0
0.49151525,0
0.6767057,0
0.45238653,0
0.031845614,0
0.27700743,0
0.87612885,1
0.29726106,0
0.68677753,0
0.004180806,0
0.65066624,1
0.41584885,0
0.02551696,0
0.90145755,0
0.35942748,0
0.033919353,0
0.44072926,1
0.28378686,0
0.041955363,0
0.19842398,0
0.07506263,0
0.11710388,0
0.0045195455,0
0.08715695,0
0.81858224,0
0.005915663,0
0.0072532645,0
0.420569,1
0.032660462,0
0.13914314,0
0.014695747,0
0.0025642004,0
0.0032753432,0
0.15654716,0
0.8845573,1
0.59063244,0
0.483071,0
0.36959514,0
0.08307424,0
0.0019981624,0
0.11162047,0
0.0035442375,0
0.66813433,1
0.7975733,1
0.0029191705,0
0.0022810998,0
0.006826259,0
0.07370957,0
0.24296755,0
0.21119253,0
0.802964,1
0.045838766,0
0.3125732,1
0.008238988,0
0.6771722,0
0.012061385,0
0.4136103,1
0.5844821,0
0.0025967506,0
0.088035464,0
0.14363454,0
0.003440802,0
0.006340634,0
0.024099188,0
0.6778003,0
0.75192404,0
0.06960996,0
0.01632352,0
0.67502147,0
0.07407505,0
0.3821091,0
0.01820542,0
0.005796431,0
0.4695195,0
0.025273243,0
0.5122699,0
0.44988617,0
0.7210273,1
0.31149718,0
0.297821,0
0.0016948477,0
0.62054116,0
0.011897968,0
0.5992232,0
0.016121212,0
0.12895268,0
0.19778025,0
0.04578528,0
0.045210633,0
0.8148794,0
0.7302926,0
0.17356147,0
0.72554684,0
0.13735414,0
0.5348993,0
0.4084786,0
0.47912377,1
0.12160056,0
0.004996724,0
0.006600672,0
0.7463223,1
0.01473705,0
0.22912808,0
0.06790502,0
0.043074414,0
0.14995137,0
0.46957457,0
0.26907936,0
0.5539506,0
0.56401455,0
0.44003856,1
0.23374,0
0.15449443,0
0.08930625,0
0.61988837,0
0.0028952744,0
0.09876697,0
0.017721161,0
0.22663262,0
0.042034592,1
0.045022544,0
0.5990515,1
0.24458265,0
0.88122636,0
0.6336227,1
0.6844026,0
0.18118712,0
0.4549101,0
0.015124484,0
0.00834387,0
0.08936974,0
0.5967999,0
0.4286265,0
0.047616355,0
0.047007114,0
0.021759627,0
0.0028157188,0
0.002128353,0
0.048184585,0
0.24487121,0
0.00301961,0
0.46888953,0
0.69476825,0
0.05510979,0
0.44886824,0
0.07853377,0
0.0060046227,0
0.012070974,0
0.6320414,0
0.052350592,0
0.14046395,0
0.5962637,0
0.25593275,0
0.7978782,0
0.31734103,0
0.024272902,0
0.0058804583,0
0.72466487,1
0.72904027,0
0.6774993,0
0.004188574,0
0.580521,1
0.05218025,0
0.07027291,0
0.4353053,0
0.012550929,0
0.027000092,0
0.0019046828,0
0.0066535873,0
0.520968,0
0.5408143,1
0.09041614,0
0.003561478,0
0.0029190455,0
0.38111964,0
0.36008963,0
0.27449158,0
0.84145474,1
0.5166211,0
0.75594366,0
0.66974384,1
0.3840691,1
0.12087645,0
0.25168648,0
0.03791617,0
0.06956416,0
0.27070025,0
0.00675347,0
0.0049893567,0
0.0070465286,0
0.13029073,0
0.3602556,0
0.0059919693,0
0.077305205,0
0.828155,1
0.33065623,0
0.21335226,0
0.34372503,0
0.6602932,0
0.0036532087,0
0.7619972,0
0.07696636,0
0.003115697,0
0.12039175,0
0.72469264,0
0.021726994,0
0.61029214,0
0.009692211,0
0.012469831,0
0.0029724427,0
0.7513611,0
0.4487093,0
0.0049485867,0
0.0061582867,0
0.11327333,0
0.80034065,1
0.06940852,0
