model,valid_accuracy,valid_recall,valid_f1,valid_auc,valid_logloss,selected_threshold,test_accuracy,test_recall,test_f1,test_auc,test_logloss,params
xgboost,0.7651468383455331,0.8532073986619442,0.709501472673721,0.8583242004817441,0.4341753901162995,0.35,0.7560739009656511,0.8372245540398741,0.6976718767078369,0.8468562760260296,0.4486932525765786,"{'colsample_bytree': 0.9292298608244857, 'gamma': 2.0365546231971847, 'learning_rate': 0.029306136625532785, 'max_depth': 5, 'min_child_weight': 6, 'reg_lambda': 0.3176783302006366, 'subsample': 0.857036792667522}"
catboost,0.764000352764794,0.8511084874721239,0.7079877782627674,0.8567628956626874,0.4364202303941438,0.35,0.7542660611138057,0.8406348373557188,0.6969713446794628,0.8461678898254493,0.4500213388167873,"{'depth': 9, 'l2_leaf_reg': 2.557711218240323, 'learning_rate': 0.010608506273682339, 'random_strength': 1.9219637153909208}"
cpu_knn,0.7542993209277714,0.847041847041847,0.6985827112409391,0.8442363047417243,0.482945745620107,0.35,0.7434190220027338,0.8306663168940189,0.685204219637544,0.8321893656453097,0.5059886747570845,"{'metric': 'manhattan', 'n_neighbors': 25, 'weights': 'uniform'}"
cpu_adaboost,0.7492283270129642,0.8846910665092483,0.7034159061277705,0.8540290176563237,0.4990067812648581,0.4,0.740376559813043,0.869884575026233,0.6925647451963242,0.843056697844176,0.5051584434362874,"{'base_estimator__max_depth': 4, 'learning_rate': 0.3345820522601497, 'n_estimators': 172}"
cpu_naive_bayes,0.7487873710203722,0.8298570116751935,0.6895198648427707,0.8273840380540058,0.8072616411310218,0.35,0.7421403060099652,0.8195173137460651,0.6812036633231574,0.8188437603568309,0.8491873297446361,{'var_smoothing': 1e-06}
random_forest,0.736484698827057,0.9060737242555424,0.6980293077311773,0.8560054299132226,0.46854189573355143,0.4,0.7273689316107412,0.8953305351521511,0.6882782959415176,0.8443366714491773,0.4835790625779036,"{'max_depth': 10, 'max_features': 0.45417268201320643, 'min_samples_leaf': 9, 'min_samples_split': 21}"
cpu_logistic_regression,0.7229914454537437,0.9169618260527351,0.6899615042937518,0.8493002068196053,0.48525949767907695,0.35,0.7135676176198245,0.9049055613850997,0.6799053907558884,0.8395562719834897,0.4976553062865998,"{'C': 7.668736991377095, 'max_iter': 227, 'solver': 'lbfgs'}"
