accuracy,recall,f1,dual_min,hit_dual_0_80
0.670810853076863,0.8035817446562681,0.7255183205111487,0.670810853076863,0
0.6728438501837517,0.8177332752866057,0.7292610327423321,0.6728438501837517,0
0.6715927750410509,0.8136591109802768,0.724698479286838,0.6715927750410509,0
0.6676831652201111,0.8026964337489128,0.7226572696423911,0.6676831652201111,0
0.675815153647666,0.814994131455399,0.7282380702674358,0.675815153647666,0
0.6714363906482133,0.8175214296091821,0.7281314699792961,0.6714363906482133,0
0.6686214715771366,0.8031281389008466,0.7253758424053914,0.6686214715771366,0
0.6766752678082727,0.8224462954844366,0.7313364953544279,0.6766752678082727,0
0.666901243255923,0.8131422781878709,0.725090345895715,0.666901243255923,0
0.6772226131832043,0.8135052890885379,0.7311799947903099,0.6772226131832043,0
0.6726092735944953,0.8073421014597485,0.7273911061918094,0.6726092735944953,0
0.6652592071311283,0.8063997662185857,0.7205431163914093,0.6652592071311283,0
0.6748768472906403,0.8159392789373814,0.7289085930369018,0.6748768472906403,0
0.6728438501837517,0.8112520040810377,0.7268216244450248,0.6728438501837517,0
0.6633044022206583,0.7974037339556592,0.7174540682414698,0.6633044022206583,0
0.6715927750410509,0.8025644761765992,0.7239747634069401,0.6715927750410509,0
0.6694033935413246,0.8050462080093883,0.7219152854511971,0.6694033935413246,0
0.6715145828446321,0.8092047771628313,0.7256579376999934,0.6715145828446321,0
0.6683868949878802,0.8075295491025828,0.722973414331439,0.6683868949878802,0
0.6736257721479396,0.8166320782686036,0.7252501316482359,0.6736257721479396,0
0.666901243255923,0.8057723457517302,0.7198105761641673,0.666901243255923,0
0.6666666666666666,0.8069970845481049,0.7220084773394196,0.6666666666666666,0
0.6651028227382907,0.8075,0.7194235178512938,0.6651028227382907,0
0.6715145828446321,0.8101377087606212,0.7247231505143831,0.6715145828446321,0
0.667292204238017,0.8108108108108109,0.7207088939940925,0.667292204238017,0
0.6790210337008367,0.8252483086224269,0.7363688908869052,0.6790210337008367,0
