rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
50,smote,lightgbm,isotonic,0.7733,0.6623,0.663,0.6626,0.8464,0.4532,0.0091,0.7178
51,smote,lightgbm,venn_abers,0.7733,0.6623,0.663,0.6626,0.8464,0.4502,0.0087,0.7178
52,smotenc,lightgbm,isotonic,0.7733,0.6623,0.663,0.6626,0.8464,0.4532,0.0091,0.7178
53,smotenc,lightgbm,venn_abers,0.7733,0.6623,0.663,0.6626,0.8464,0.4502,0.0087,0.7178
54,smotenc,catboost,platt,0.7732,0.6616,0.663,0.6623,0.8468,0.4555,0.0261,0.7174
55,smotecw,catboost,platt,0.7731,0.6606,0.6631,0.6619,0.8471,0.4552,0.0268,0.71685
56,base,logreg,base,0.7689,0.6636,0.6541,0.6588,0.8402,0.4643,0.0268,0.71625
57,smote,catboost,venn_abers,0.7727,0.6581,0.6631,0.6606,0.8466,0.4505,0.0106,0.7154
58,smotencw,catboost,venn_abers,0.7727,0.6581,0.6631,0.6606,0.8466,0.4506,0.0106,0.7154
59,smote,catboost,isotonic,0.7726,0.6579,0.6631,0.6605,0.8465,0.4517,0.0113,0.7152499999999999
60,smotencw,catboost,isotonic,0.7726,0.6579,0.6631,0.6605,0.8465,0.4517,0.0113,0.7152499999999999
61,smote,catboost,platt,0.7724,0.6553,0.6636,0.6594,0.8469,0.4557,0.0293,0.71385
62,smotencw,catboost,platt,0.7724,0.6553,0.6636,0.6594,0.8469,0.4557,0.0293,0.71385
63,cw,logreg,platt,0.7685,0.6572,0.6552,0.6562,0.8405,0.4617,0.024,0.71285
64,smote,logreg,platt,0.7682,0.6571,0.6546,0.6558,0.8406,0.4619,0.0257,0.71265
65,smotenc,logreg,platt,0.7682,0.6571,0.6546,0.6558,0.8406,0.4619,0.0257,0.71265
66,smotecw,logreg,platt,0.7682,0.6571,0.6546,0.6558,0.8406,0.4619,0.0257,0.71265
67,smotencw,logreg,platt,0.7682,0.6571,0.6546,0.6558,0.8406,0.4619,0.0257,0.71265
68,base,lightgbm,platt,0.7748,0.6493,0.6705,0.6597,0.8484,0.4553,0.032,0.7120500000000001
69,base,catboost,platt,0.7731,0.6496,0.6668,0.6581,0.8473,0.4561,0.0307,0.7113499999999999
70,base,logreg,isotonic,0.7681,0.6312,0.6628,0.6466,0.84,0.4605,0.0085,0.69965
71,base,logreg,venn_abers,0.7681,0.6312,0.6628,0.6466,0.84,0.4582,0.0078,0.69965
72,base,logreg,platt,0.7669,0.6144,0.6662,0.6392,0.8402,0.4668,0.0412,0.69065
