iter	Accuracy	Logloss
337	0.6959331291	0.5781125219
338	0.6961208567	0.5779978794
339	0.6962258451	0.5779041918
340	0.6963541753	0.5778452258
341	0.6963223907	0.5777818131
342	0.6964321467	0.5776937906
343	0.6963529834	0.577617281
344	0.6964891604	0.5774885062
345	0.69656594	0.57740024
346	0.6966877147	0.5773017401
347	0.6967350935	0.5772090271
348	0.6968142569	0.5771062631
349	0.6968904406	0.5770130019
350	0.696995429	0.5769299744
351	0.6971363736	0.5768600437
352	0.6971225672	0.5767701937
353	0.6973631367	0.5766375204
354	0.6974878911	0.5764923593
355	0.6977182299	0.5763901436
356	0.6977344202	0.576315827
357	0.6977800112	0.5762501604
358	0.697782395	0.5761629297
359	0.6977344202	0.5760579728
360	0.6980115418	0.5759620922
361	0.6980457102	0.5758458659
362	0.6981074914	0.5757788592
363	0.6981968856	0.575692055
364	0.6982742611	0.5756293123
365	0.6982334377	0.5755111976
366	0.6983066416	0.5754524144
367	0.698568169	0.5753530617
368	0.6986023373	0.5752511505
369	0.6986479283	0.5751463763
370	0.6987253039	0.5750871057
371	0.6987097096	0.5750026163
372	0.6988500583	0.5749064921
373	0.6988644607	0.5748365005
374	0.6989850434	0.5747348329
375	0.6989424322	0.574652841
376	0.6990492085	0.5745844332
377	0.6991733669	0.5745109085
378	0.6992183619	0.5744396377
379	0.6993113318	0.5743514933
380	0.6991445621	0.5742407494
381	0.6992495505	0.5741498639
382	0.6992813351	0.5740600749
383	0.6995134617	0.5739777784
384	0.6995926251	0.5738575317
385	0.6996999974	0.5737957636
386	0.6999303361	0.5736861162
387	0.6999471223	0.5735924895
388	0.6999783109	0.5735293204
389	0.7000730686	0.5734339271
390	0.700197823	0.5733737429
391	0.7002146092	0.5732884006
392	0.7002907929	0.5731951394
393	0.7003513822	0.5730924972
394	0.7004143553	0.5730240285
395	0.7003957813	0.5729243103
396	0.7005949315	0.5728425011
397	0.7007658728	0.5727305998
398	0.7007544502	0.572649948
399	0.7009224118	0.5725169092
400	0.7009674068	0.5724305923
401	0.701166557	0.5723270364
402	0.7011983415	0.5722253079
403	0.7011671529	0.5721331432
404	0.7012457204	0.5720605322
405	0.7011563262	0.5719587428
406	0.7013128652	0.5718919797
407	0.7015138032	0.5718150438
408	0.7017453339	0.5717094777
409	0.7018827028	0.5716441156
410	0.7019282938	0.5715691899
411	0.7020986392	0.5714581414
412	0.7020056694	0.571346362
413	0.7022204139	0.5712400649
414	0.7022516025	0.5711325495
415	0.7024483688	0.5710504357
416	0.7025869297	0.5709500474
417	0.7026637093	0.5708589182
418	0.7028184604	0.5707579208
419	0.7028454773	0.5706748933
420	0.7028766659	0.5705882109
421	0.7030164187	0.5705119451
422	0.7029390431	0.5704010184
423	0.7029102383	0.570315798
424	0.7031831883	0.5701982925
425	0.7032917525	0.5700558118
426	0.7033709159	0.5699916071
427	0.7034662695	0.5698812896
428	0.7036342311	0.569770302
429	0.7038483796	0.5696736905
430	0.7037739838	0.5696167347
431	0.7038021927	0.5695218288
432	0.7039431373	0.5694186384
433	0.7039743259	0.5693393267
434	0.7040811022	0.5692236487
435	0.7040217048	0.5691610278
436	0.7041284811	0.5690273798
437	0.7042382371	0.5689713987
438	0.7044338116	0.5688509693
439	0.7046647463	0.5687660534
440	0.7048483022	0.5686817468
441	0.7049532907	0.5685906176
442	0.7048147298	0.5685219052
443	0.704831516	0.5684363193
444	0.7052022035	0.568331606
445	0.7053995658	0.5682143441
446	0.705416948	0.5681408195
447	0.7053401684	0.5680688786
448	0.7054187358	0.5680225221
449	0.705481113	0.5679499111
450	0.7054181399	0.5678790058
451	0.7053425522	0.5678165067
452	0.7054493285	0.5677129508
453	0.7055555088	0.5676461877
454	0.7055872934	0.567592826
455	0.7056328844	0.5674624065
456	0.7057702533	0.5673505661
457	0.7059867856	0.5672743002
458	0.7061565351	0.5671482666
459	0.7060947538	0.5670882042
460	0.7062177204	0.5670102327
461	0.706385682	0.5668879758
462	0.706495438	0.5667911206
463	0.7066622077	0.5666998086
464	0.7065392411	0.5666250656
465	0.7066184045	0.5665229717
466	0.7066975679	0.5664483505
467	0.7068211304	0.5663993138
468	0.7069296946	0.5662880825
469	0.7069602872	0.5661694806
470	0.707099444	0.5660807271
471	0.7072697894	0.5659923391
472	0.7074521534	0.5658665491
473	0.7074533453	0.565786141
474	0.7076213069	0.5656905041
475	0.7076663019	0.5656013242
476	0.7078060546	0.5655378505
477	0.7078990245	0.5654590871
478	0.7078984285	0.5653351855
479	0.708113173	0.5652798744
480	0.7082187574	0.5651994663
481	0.7081905486	0.5650785496
482	0.7083902947	0.5649915626
483	0.7084814767	0.5648872148
484	0.7086997969	0.5647906642
485	0.7086542059	0.5647220736
486	0.7087765765	0.5646560415
487	0.7087477717	0.5645595518
488	0.7089163292	0.564501926
489	0.7089325195	0.5644185939
490	0.7089937048	0.5643434245
491	0.7090231055	0.5642865906
492	0.709146072	0.5641656738
493	0.7092966515	0.5640506659
494	0.7094825912	0.5639477191
495	0.7095605627	0.5638721233
496	0.7096829333	0.5637744762
497	0.7096199601	0.5636925452
498	0.7097735193	0.5635785728
499	0.7097429267	0.5635024288
