iter	Passed	Remaining
406	6829	1560
407	6846	1543
408	6863	1527
409	6880	1510
410	6896	1493
411	6914	1476
412	6932	1460
413	6949	1443
414	6967	1427
415	6985	1410
416	7002	1393
417	7020	1377
418	7037	1360
419	7054	1343
420	7071	1326
421	7088	1310
422	7106	1293
423	7124	1276
424	7142	1260
425	7160	1243
426	7177	1227
427	7195	1210
428	7212	1193
429	7229	1176
430	7246	1160
431	7263	1143
432	7281	1126
433	7298	1109
434	7316	1093
435	7333	1076
436	7351	1059
437	7367	1042
438	7385	1026
439	7402	1009
440	7419	992
441	7436	975
442	7453	959
443	7470	942
444	7488	925
445	7506	908
446	7523	892
447	7540	875
448	7556	858
449	7573	841
450	7590	824
451	7606	807
452	7624	791
453	7640	774
454	7656	757
455	7675	740
456	7692	723
457	7709	707
458	7728	690
459	7744	673
460	7761	656
461	7779	639
462	7796	623
463	7813	606
464	7830	589
465	7848	572
466	7864	555
467	7881	538
468	7899	522
469	7917	505
470	7935	488
471	7952	471
472	7970	454
473	7987	438
474	8005	421
475	8022	404
476	8039	387
477	8056	370
478	8074	354
479	8091	337
480	8108	320
481	8126	303
482	8144	286
483	8161	269
484	8179	252
485	8196	236
486	8213	219
487	8231	202
488	8247	185
489	8264	168
490	8281	151
491	8298	134
492	8316	118
493	8334	101
494	8351	84
495	8368	67
496	8386	50
497	8403	33
498	8421	16
499	8438	0
