feature,n_valid,spearman_corr_target,abs_spearman_corr_target,mean_target0,mean_target1,std_mean_diff_target1_vs_0
age,151189,0.520870847835898,0.520870847835898,23.319334946445476,45.730538491067215,1.2598509127580408
age_anthro,151189,0.520870847835898,0.520870847835898,23.319334946445476,45.730538491067215,1.2598509127580408
agemos,151189,0.520870847835898,0.520870847835898,279.8320193591974,548.7664618931962,1.2598509125866628
bmi,150510,0.47143624070697343,0.47143624070697343,18.967989045875033,23.830239616995566,1.0958218918632527
anthro_group,151189,0.43440567526968715,0.43440567526968715,3.2463807104070144,4.0160947583818665,0.7248227396471709
whr,121984,0.324432999711641,0.324432999711641,0.8465280334568612,0.8922357738895526,0.6700193650970356
fe_alcohol_level,30638,0.19514253643997345,0.19514253643997345,0.7408111888111888,1.171824806080075,0.39937748509269566
fe_smoking_level,30740,0.1583737396796799,0.1583737396796799,0.46748897694926606,0.7703345550963113,0.2828684965982835
cu,38013,-0.15818048691715522,0.15818048691715522,5.623756875917078,4.874508617336934,-0.31320813466080194
mos_preg,1493,0.08851132120659083,0.08851132120659083,5.67059748427673,6.135746606334842,0.21230740554708136
sex,151189,-0.05579008133086429,0.05579008133086429,1.5374881681861206,1.478474736345034,-0.11824716386660225
sex_anthro,151189,-0.05579008133086429,0.05579008133086429,1.5374881681861206,1.478474736345034,-0.11824716386660225
psc_anthro,151189,0.05033193093198311,0.05033193093198311,45.85795845165147,51.68107586966787,0.11799496119413015
psurec_anthro,151189,0.022450895724271697,0.022450895724271697,4.306242215911921,4.7706792066740125,0.0531062500029255
mos_lactation,4003,-0.014855421846919688,0.014855421846919688,11.13621964097149,11.105851979345955,-0.03525655192223789
ethnicity,151189,-0.014297429825245372,0.014297429825245372,0.06519204902107309,0.057827010861010546,-0.030513832125993238
provcode_anthro,151189,0.006340914335361206,0.006340914335361206,40.78136800677527,41.13509365654022,0.015685296994528232
strrec_anthro,151189,-0.005982195723895416,0.005982195723895416,308.16879390225677,305.9625767354006,-0.01251925969425877
regcode_anthro,151189,-0.005195604965424368,0.005195604965424368,12.549036018532357,12.720368329922872,0.01433412432633529
