config_name,model_family,balance_method,best_params,calibration_method,val_ece,val_log_loss,operating_threshold,operating_score,operating_val_accuracy,operating_val_recall
LightGBM_GPU__base,LightGBM_GPU,base,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'num_leaves': 95, 'n_estimators': 300, 'min_split_gain': 0.25, 'min_child_samples': 20, 'max_bin': 127, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",isotonic,0.015289065681649632,0.612154335189039,0.05,0.9024996120500841,0.5203368060510918,0.998040313549832
LightGBM_GPU__base,LightGBM_GPU,base,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'num_leaves': 95, 'n_estimators': 300, 'min_split_gain': 0.25, 'min_child_samples': 20, 'max_bin': 127, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",identity,0.019260795227288924,0.6090410417944548,0.14,0.9022712689645981,0.5191950906236621,0.998040313549832
RandomForest_GPU_XGBRF__adasyn_cw,RandomForest_GPU_XGBRF,adasyn_cw,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 1, 'max_depth': 6, 'gamma': 0.25, 'colsample_bynode': 1.0}",identity,0.016578482876784203,0.6137560204409689,0.01,0.9019551876694735,0.5097759383473669,1.0
RandomForest_GPU_XGBRF__adasyn_cw,RandomForest_GPU_XGBRF,adasyn_cw,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 1, 'max_depth': 6, 'gamma': 0.25, 'colsample_bynode': 1.0}",venn_abers,0.01805622512084186,0.6140336993408129,0.01,0.9019551876694735,0.5097759383473669,1.0
RandomForest_GPU_XGBRF__adasyn_cw,RandomForest_GPU_XGBRF,adasyn_cw,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 1, 'max_depth': 6, 'gamma': 0.25, 'colsample_bynode': 1.0}",isotonic,0.018217338117680462,0.6141923289874635,0.01,0.9019551876694735,0.5097759383473669,1.0
RandomForest_GPU_XGBRF__adasyn_cw,RandomForest_GPU_XGBRF,adasyn_cw,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 1, 'max_depth': 6, 'gamma': 0.25, 'colsample_bynode': 1.0}",platt,0.01954343454116903,0.613667224970713,0.01,0.9019551876694735,0.5097759383473669,1.0
RandomForest_GPU_XGBRF__classweights,RandomForest_GPU_XGBRF,classweights,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 1, 'max_depth': 6, 'gamma': 0.25, 'colsample_bynode': 1.0}",identity,0.016578482876784203,0.6137560204409689,0.01,0.9019551876694735,0.5097759383473669,1.0
RandomForest_GPU_XGBRF__classweights,RandomForest_GPU_XGBRF,classweights,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 1, 'max_depth': 6, 'gamma': 0.25, 'colsample_bynode': 1.0}",venn_abers,0.01805622512084186,0.6140336993408129,0.01,0.9019551876694735,0.5097759383473669,1.0
RandomForest_GPU_XGBRF__classweights,RandomForest_GPU_XGBRF,classweights,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 1, 'max_depth': 6, 'gamma': 0.25, 'colsample_bynode': 1.0}",isotonic,0.018217338117680462,0.6141923289874635,0.01,0.9019551876694735,0.5097759383473669,1.0
RandomForest_GPU_XGBRF__classweights,RandomForest_GPU_XGBRF,classweights,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 1, 'max_depth': 6, 'gamma': 0.25, 'colsample_bynode': 1.0}",platt,0.01954343454116903,0.613667224970713,0.01,0.9019551876694735,0.5097759383473669,1.0
