rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
58,cw,catboost,platt,0.773,0.7055,0.6494,0.6763,0.8468,0.4532,0.0151,0.73925
59,base,randomforest,base,0.7611,0.7091,0.6281,0.6661,0.8371,0.4656,0.0284,0.7351
60,cw,xgboost,platt,0.7737,0.6946,0.6538,0.6736,0.8484,0.4509,0.0145,0.7341500000000001
61,base,xgboost,venn_abers,0.7744,0.6904,0.6564,0.673,0.8483,0.4481,0.0093,0.7323999999999999
62,base,xgboost,isotonic,0.7744,0.6903,0.6563,0.6729,0.8482,0.4505,0.0097,0.7323500000000001
63,smote,catboost,platt,0.7705,0.6939,0.6482,0.6703,0.843,0.4576,0.0138,0.7322
64,smotenc,catboost,platt,0.7705,0.6939,0.6482,0.6703,0.843,0.4576,0.0138,0.7322
65,smotecw,catboost,platt,0.7705,0.6939,0.6482,0.6703,0.843,0.4576,0.0138,0.7322
66,smotencw,catboost,platt,0.7705,0.6939,0.6482,0.6703,0.843,0.4576,0.0138,0.7322
67,smote,logreg,isotonic,0.7664,0.698,0.6398,0.6676,0.8403,0.4627,0.0107,0.7322
68,smotenc,logreg,isotonic,0.7664,0.698,0.6398,0.6676,0.8403,0.4627,0.0107,0.7322
69,smotecw,logreg,isotonic,0.7664,0.698,0.6398,0.6676,0.8403,0.4627,0.0107,0.7322
70,smotencw,logreg,isotonic,0.7664,0.698,0.6398,0.6676,0.8403,0.4627,0.0107,0.7322
71,smote,logreg,venn_abers,0.7663,0.698,0.6397,0.6676,0.8403,0.4581,0.0099,0.73215
72,smotenc,logreg,venn_abers,0.7663,0.698,0.6397,0.6676,0.8403,0.4581,0.0099,0.73215
73,smotecw,logreg,venn_abers,0.7663,0.698,0.6397,0.6676,0.8403,0.4581,0.0099,0.73215
74,smotencw,logreg,venn_abers,0.7663,0.698,0.6397,0.6676,0.8403,0.4581,0.0099,0.73215
75,smote,xgboost,venn_abers,0.7725,0.691,0.6526,0.6713,0.8455,0.4514,0.0089,0.7317499999999999
76,smotenc,xgboost,venn_abers,0.7725,0.691,0.6526,0.6713,0.8455,0.4514,0.0089,0.7317499999999999
77,smotecw,xgboost,venn_abers,0.7725,0.691,0.6526,0.6713,0.8455,0.4514,0.0089,0.7317499999999999
78,smotencw,xgboost,venn_abers,0.7725,0.691,0.6526,0.6713,0.8455,0.4514,0.0089,0.7317499999999999
79,smote,xgboost,isotonic,0.7724,0.6906,0.6525,0.671,0.8455,0.4532,0.0076,0.7315
80,smotenc,xgboost,isotonic,0.7724,0.6906,0.6525,0.671,0.8455,0.4532,0.0076,0.7315
81,smotecw,xgboost,isotonic,0.7724,0.6906,0.6525,0.671,0.8455,0.4532,0.0076,0.7315
82,smotencw,xgboost,isotonic,0.7724,0.6906,0.6525,0.671,0.8455,0.4532,0.0076,0.7315
83,cw,randomforest,venn_abers,0.7612,0.7015,0.63,0.6638,0.8363,0.4631,0.0109,0.73135
84,cw,randomforest,isotonic,0.7613,0.7013,0.6303,0.6639,0.8363,0.4643,0.0118,0.7313000000000001
85,base,catboost,base,0.771,0.6898,0.6503,0.6695,0.8445,0.4574,0.0262,0.7303999999999999
86,base,randomforest,platt,0.7609,0.6996,0.63,0.663,0.8371,0.4662,0.0199,0.7302500000000001
87,cw,adaboost,isotonic,0.7396,0.7197,0.5929,0.6502,0.7963,0.4906,0.015,0.72965
88,cw,adaboost,venn_abers,0.7396,0.7197,0.5929,0.6502,0.7963,0.4905,0.0147,0.72965
89,smotecw,randomforest,venn_abers,0.7685,0.6902,0.6457,0.6672,0.8392,0.4582,0.0085,0.7293499999999999
90,smotencw,randomforest,venn_abers,0.7685,0.6902,0.6457,0.6672,0.8392,0.4582,0.0085,0.7293499999999999
91,smotecw,randomforest,isotonic,0.7685,0.69,0.6457,0.6671,0.8392,0.4603,0.0091,0.72925
92,smotencw,randomforest,isotonic,0.7685,0.69,0.6457,0.6671,0.8392,0.4603,0.0091,0.72925
