scaler_key,scaler,model,accuracy,precision,recall,f1,auc,logloss,fit_seconds
standardization,Standardization,LogReg,0.7474039288312719,0.5944571827335261,0.782186659670755,0.6755218216318786,0.8208207604669067,0.5271034235474419,0.17047549999551848
standardization,Standardization,RandomForest,0.7221597548338735,0.5753175009966399,0.6625565685052798,0.6158629518990428,0.77775402653923,0.6891570840970632,16.001219799974933
standardization,Standardization,KNN,0.7141786273342593,0.5767394957983193,0.5626680658490195,0.5696168913086781,0.7524970715256538,1.1861164441057768,0.01680559996748343
standardization,Standardization,NaiveBayes,0.7226007011045704,0.5785718497552922,0.6435364333967338,0.6093274545115817,0.7646954324600271,0.8547460593424471,0.0588819999829866
standardization,Standardization,AdaBoost,0.750402363472011,0.6183528276860002,0.6726569161146455,0.6443627681965256,0.8193697854810449,0.5039214805411018,70.89644129999215
standardization,Standardization,XGBoost,0.7406574508896091,0.5770728254136802,0.8554469731750508,0.6892123966287088,0.8249284781798628,0.5024875192096525,1.6986710000201128
standardization,Standardization,CatBoost,0.7407235928302136,0.5769112003176143,0.857742506722634,0.6898407004958329,0.8254987478739604,0.5032548747700218,2.95435890002409
standardization,Standardization,LightGBM,0.7410102079061667,0.5776053215077606,0.8542664130648652,0.6892081382120274,0.8251206976661971,0.5018356185998144,0.9685244999709539
min_max_scaling,Min-Max,LogReg,0.7471173137553189,0.5942036214894997,0.7812684462517216,0.675015583385278,0.8208194535255691,0.52716786958386,0.13044340000487864
min_max_scaling,Min-Max,RandomForest,0.7214101461736887,0.574468085106383,0.6605233816488489,0.6144975288303131,0.7771114318006317,0.6918705022279712,15.718307000002824
min_max_scaling,Min-Max,KNN,0.7238353506625218,0.586672612601134,0.6039876697055159,0.5952042399172699,0.7654758419844319,1.1702689126191679,0.01576129999011755
min_max_scaling,Min-Max,NaiveBayes,0.7250700002204732,0.5842485286087009,0.6315340722765134,0.6069717599596571,0.7661644878901757,0.8515569119761606,0.05737759999465197
min_max_scaling,Min-Max,AdaBoost,0.7506007892938246,0.6186169892084162,0.672984849478586,0.6446566564051015,0.8198056656647582,0.5040327277626934,70.8465312999906
min_max_scaling,Min-Max,XGBoost,0.7413409176091893,0.5776932938420052,0.8570866399947531,0.6901869652477025,0.8253977420018076,0.5021844812905771,1.5576288999873213
min_max_scaling,Min-Max,CatBoost,0.7405692616354698,0.5765642876001056,0.8593821735423361,0.6901219287388407,0.82578935063683,0.5031645763144867,2.7582419000100344
min_max_scaling,Min-Max,LightGBM,0.7420243843287695,0.5785208148804252,0.8567587066308127,0.690670684960478,0.8257014686339417,0.5013249106807259,0.8669738000025973
robust_scaling,Robust,LogReg,0.7350133386246885,0.5784104158569763,0.7808749262149931,0.6645642041807374,0.8051500698658166,0.5449749876330046,12.976970899966545
robust_scaling,Robust,RandomForest,0.7212337676654099,0.5741384221019653,0.6610480750311537,0.6145356990427413,0.7774084799625309,0.6872552118854268,17.883694599964656
robust_scaling,Robust,KNN,0.699495116520052,0.5548247101105309,0.536630156752148,0.5455757818230312,0.7240887313404991,1.3461028466269886,0.01521599997067824
robust_scaling,Robust,NaiveBayes,0.7225566064775008,0.5763343461560512,0.6593428215386633,0.6150504741511166,0.762856244708385,0.848808527385508,0.061124400002881885
robust_scaling,Robust,AdaBoost,0.7505126000396851,0.6185965123996863,0.6723945694234932,0.6443746071653048,0.8198854195816451,0.5039327512294295,70.90013420005562
robust_scaling,Robust,XGBoost,0.7415393434310029,0.5779715019028232,0.8566275332852364,0.6902364909499273,0.8255129521480638,0.5017930966701578,1.53431429999182
robust_scaling,Robust,CatBoost,0.7396873690940758,0.5753658750328631,0.8612186003804027,0.6898526360030471,0.8254832431932263,0.5033581247403679,2.7449285999755375
robust_scaling,Robust,LightGBM,0.7405472143219348,0.5768907748751271,0.8559716665573556,0.6892527066279377,0.8253190390835797,0.5016925730425758,0.9128858000040054
max_absolute_scaling,Max-Absolute,LogReg,0.7477346385342946,0.5950632089142057,0.7810716862333574,0.6754963131026659,0.8210181401932883,0.5269427917614462,0.19900939997751266
max_absolute_scaling,Max-Absolute,RandomForest,0.722093612893269,0.5752277904328018,0.6624909818324917,0.6157832169963727,0.7776977191499383,0.6880223427091148,15.676265700021759
max_absolute_scaling,Max-Absolute,KNN,0.7242542496196839,0.587127957262783,0.6054961631796419,0.5961706112169449,0.7658030706891676,1.170589905755127,0.018669300014153123
max_absolute_scaling,Max-Absolute,NaiveBayes,0.7251581894746125,0.5846781560197308,0.6296976454384469,0.6063534166982443,0.7665739242941596,0.8514294783495578,0.059992299997247756
max_absolute_scaling,Max-Absolute,AdaBoost,0.7504685054126154,0.6183362448045299,0.6732471961697383,0.644624466214519,0.8194769949680798,0.5039034082045366,70.18188369995914
max_absolute_scaling,Max-Absolute,XGBoost,0.7403487885001213,0.576681693626801,0.8557749065389912,0.6890396852639084,0.8256448454004933,0.5019276158670678,1.5372842000215314
max_absolute_scaling,Max-Absolute,CatBoost,0.7402165046189122,0.5763197320877765,0.8578080933954221,0.6894388656071269,0.8256517634766399,0.503272755327145,2.745433099975344
max_absolute_scaling,Max-Absolute,LightGBM,0.7401283153647727,0.5765080488236335,0.8549878664655342,0.6886605562745979,0.8249540539327204,0.5018967767669369,0.859857400006149
