model,method,selected_threshold,cal_accuracy,cal_recall,cal_f1,cal_auc,cal_logloss,cal_ece,rank_acc,rank_recall,rank_logloss,rank_ece,rank_mean
xgboost,base,0.35,0.7623247199929447,0.8556809236420887,0.7076055115547358,0.8565384586427065,0.435989374843404,0.01169426562462506,14.0,6.0,1.0,6.0,6.75
xgboost,venn_abers,0.35,0.7661169415292354,0.8436106008921543,0.7079938339572781,0.8560933958162944,0.4385296543475519,0.009796934283875371,9.0,13.0,3.0,3.0,7.0
catboost,isotonic,0.35,0.763294823176647,0.853319338756232,0.7078798432738355,0.8552717802457285,0.4386184499217541,0.011543634053830715,12.0,9.0,4.0,5.0,7.5
xgboost,isotonic,0.35,0.7661169415292354,0.842823405930202,0.7078007933010136,0.8560037628086493,0.440936299178954,0.010807748695710457,9.0,14.0,7.0,4.0,8.5
catboost,venn_abers,0.35,0.7632066319781285,0.8535817370768827,0.7078663910347078,0.8552704208495403,0.43876347531037946,0.012916352799627493,13.0,8.0,5.0,9.0,8.75
catboost,base,0.35,0.7615309992062792,0.8546313303594857,0.7066608808852246,0.8558722150851986,0.4366733387191942,0.013796151227020659,15.0,7.0,2.0,11.0,8.75
random_forest,venn_abers,0.4,0.7696445894699709,0.8228811335607452,0.7059882935614588,0.8539742191558581,0.43929140256603477,0.01743315288383613,8.0,17.0,6.0,13.0,11.0
cpu_adaboost,venn_abers,0.4,0.7747596789840374,0.7777486224088166,0.6988917708087715,0.8517555974358024,0.44265279492426274,0.012686277859404294,1.0,25.0,11.0,8.0,11.25
cpu_adaboost,isotonic,0.4,0.7747596789840374,0.7777486224088166,0.6988917708087715,0.8516485362718972,0.44418306820494413,0.012237771669464367,1.0,25.0,14.0,7.0,11.75
random_forest,isotonic,0.4,0.7697327806684893,0.8228811335607452,0.7060677698975572,0.8539086718601643,0.44118899159610553,0.01835253576976203,7.0,17.0,8.0,15.0,11.75
cpu_logistic_regression,venn_abers,0.35,0.7536819825381427,0.8611912883757544,0.7015068932350113,0.8489102417884802,0.4458745602952811,0.013897788846928716,16.0,4.0,15.0,12.0,11.75
cpu_logistic_regression,isotonic,0.35,0.7535937913396243,0.8609288900551036,0.7013681060282172,0.8488312399561536,0.44614787585734283,0.013585770279752453,17.0,5.0,16.0,10.0,12.0
cpu_knn,isotonic,0.35,0.7395713907752006,0.8454473891367095,0.6857507715228265,0.8278350869776537,0.4719980083835974,0.007092399804382182,22.0,10.0,19.0,1.0,13.0
cpu_adaboost,platt,0.4,0.774671487785519,0.7717134610338494,0.6971672395401209,0.8526281380789598,0.44178575653916136,0.017616856006752755,3.0,27.0,10.0,14.0,13.5
cpu_knn,venn_abers,0.35,0.7395713907752006,0.8454473891367095,0.6857507715228265,0.8278350869776537,0.47200244070364583,0.007253285387496462,22.0,10.0,20.0,2.0,13.5
random_forest,platt,0.4,0.7733486198077432,0.7958541065337181,0.7024085224641038,0.8543363762429412,0.44169108295796244,0.022694214834898606,5.0,23.0,9.0,19.0,14.0
catboost,platt,0.35,0.7743187229914454,0.8050380477564943,0.7056929269695227,0.8558722150851986,0.4436617600815807,0.034473361882981855,4.0,20.0,13.0,23.0,15.0
xgboost,platt,0.35,0.7732604286092248,0.8005772763054316,0.7035627810446212,0.8565384586427065,0.4428806412880849,0.03386921797123527,6.0,22.0,12.0,22.0,15.5
random_forest,base,0.4,0.7442455242966752,0.9023878247179218,0.7034158314583759,0.8543363762429412,0.46338490380719843,0.08674013469496938,20.0,2.0,18.0,25.0,16.25
cpu_logistic_regression,platt,0.35,0.7658523679336802,0.8076620309630018,0.6986721144024515,0.849238605680575,0.4495809556662082,0.02891136522771603,11.0,19.0,17.0,20.0,16.75
cpu_knn,base,0.35,0.7395713907752006,0.8454473891367095,0.6857507715228265,0.828459868951419,0.497266514814054,0.02053515301172942,22.0,10.0,25.0,18.0,18.75
cpu_adaboost,base,0.4,0.7449510538848223,0.8966150616636054,0.702652683528686,0.8526281380789598,0.5038717769209289,0.12055995635290065,19.0,3.0,27.0,27.0,19.0
cpu_logistic_regression,base,0.35,0.7217567686744862,0.9176069273156652,0.6891319341807075,0.849238605680575,0.48589200187454773,0.10681642213252364,28.0,1.0,22.0,26.0,19.25
cpu_naive_bayes,isotonic,0.35,0.7246670782255931,0.8297034898976646,0.6694897311031124,0.8077325975676988,0.4943653622612032,0.020342583113181954,26.0,15.0,24.0,16.0,20.25
cpu_naive_bayes,venn_abers,0.35,0.7246670782255931,0.8297034898976646,0.6694897311031124,0.8076573253608117,0.4943014343871817,0.02037119012191687,26.0,15.0,23.0,17.0,20.25
cpu_knn,platt,0.35,0.7477731722374107,0.7950669115717659,0.679372197309417,0.828459868951419,0.4769319489069731,0.042292993740404385,18.0,24.0,21.0,24.0,21.75
cpu_naive_bayes,platt,0.35,0.7433636123114913,0.7580687483600105,0.6650552486187845,0.808033512113684,0.5030591967861641,0.03385217852735444,21.0,28.0,26.0,21.0,24.0
cpu_naive_bayes,base,0.35,0.7318105653055825,0.8021516662293361,0.6678317859093391,0.808033512113684,0.9721007654772922,0.1828061092371448,25.0,21.0,28.0,28.0,25.5
