model,valid_accuracy,valid_recall,valid_f1,valid_auc,valid_logloss,selected_threshold,test_accuracy,test_recall,test_f1,test_auc,test_logloss,params
xgboost,0.7629861539818326,0.8553063098517644,0.7081183817540049,0.8574002848360508,0.43555877818795685,0.35,0.7539574055293443,0.8423399790136411,0.6971341728180634,0.8461286972252494,0.44949216975743994,"{'colsample_bytree': 0.937456676398797, 'gamma': 0.9982950107159098, 'learning_rate': 0.010505423338112546, 'max_depth': 4, 'min_child_weight': 5, 'reg_lambda': 0.009867215860792112, 'subsample': 0.902168997989711}"
catboost,0.7622806243936855,0.8542568542568543,0.7072495248438773,0.8567517946461819,0.4365001308842636,0.35,0.753736937254729,0.843389296956978,0.6972079154242342,0.8453760224402793,0.4509455287872012,"{'depth': 10, 'l2_leaf_reg': 24.83682585235925, 'learning_rate': 0.009716941972138453, 'random_strength': 2.0760060557741786}"
cpu_adaboost,0.7440691418996385,0.8922996195723468,0.7009480626545754,0.8539511188434833,0.5032799353664185,0.4,0.7376427532078134,0.8797219307450157,0.692728775046478,0.8427216157056863,0.5091582501576831,"{'base_estimator__max_depth': 4, 'learning_rate': 0.37933858690216815, 'n_estimators': 168}"
random_forest,0.74124702354705,0.8966286239013512,0.699662196744805,0.8540668386627143,0.463847073086258,0.4,0.7320428590325853,0.8860178384050367,0.6897431970184306,0.8428330295039211,0.4788270245020554,"{'max_depth': 12, 'max_features': 0.45150302144801496, 'min_samples_leaf': 3, 'min_samples_split': 20}"
cpu_knn,0.7407178763559397,0.8441558441558441,0.6864,0.8283827287178636,0.5014539407619658,0.35,0.7316901097932007,0.834601259181532,0.67651905799798,0.8174289628131618,0.5234142967011098,"{'metric': 'manhattan', 'n_neighbors': 20, 'weights': 'uniform'}"
cpu_naive_bayes,0.7364406032277979,0.8059818968909878,0.6727621133315084,0.8124953355471758,0.9467837489991121,0.35,0.7331011067507386,0.797875131164743,0.6677644217575059,0.8042704774692863,0.997120026022413,{'var_smoothing': 1e-06}
cpu_logistic_regression,0.7219772466707822,0.9152564607110062,0.688780295177452,0.8493191412849636,0.4851410511495334,0.35,0.7144935843732086,0.9055613850996852,0.6807671448996697,0.8394168479130214,0.4977294147212854,"{'C': 75.06746881215015, 'max_iter': 281, 'solver': 'liblinear'}"
