model_key,model_family,compute_type,balancing_method,selected_threshold,valid_accuracy,valid_recall,valid_f1,valid_auc,test_accuracy,test_recall,test_f1,test_auc
cpu_adaboost,adaboost,cpu,none,0.4,0.7440691418996385,0.8922996195723468,0.7009480626545754,0.8539511188434833,0.7376427532078134,0.8797219307450157,0.692728775046478,0.8427216157056863
cpu_knn,knn,cpu,none,0.35,0.7407178763559397,0.8441558441558441,0.6864,0.8283827287178636,0.7316901097932007,0.834601259181532,0.67651905799798,0.8174289628131618
cpu_naive_bayes,naive_bayes,cpu,none,0.35,0.7364406032277979,0.8059818968909878,0.6727621133315084,0.8124953355471758,0.7331011067507386,0.797875131164743,0.6677644217575059,0.8042704774692863
cpu_logistic_regression,logistic_regression,cpu,class_weight=balanced,0.35,0.7219772466707822,0.9152564607110062,0.688780295177452,0.8493191412849636,0.7144935843732086,0.9055613850996852,0.6807671448996697,0.8394168479130214
xgboost,xgboost,gpu_or_gpu_first,none,0.35,0.7629861539818326,0.8553063098517644,0.7081183817540049,0.8574002848360508,0.7539574055293443,0.8423399790136411,0.6971341728180634,0.8461286972252494
catboost,catboost,gpu_or_gpu_first,none,0.35,0.7622806243936855,0.8542568542568543,0.7072495248438773,0.8567517946461819,0.753736937254729,0.843389296956978,0.6972079154242342,0.8453760224402793
random_forest,random_forest,gpu_or_gpu_first,class_weight=balanced_subsample,0.4,0.74124702354705,0.8966286239013512,0.699662196744805,0.8540668386627143,0.7320428590325853,0.8860178384050367,0.6897431970184306,0.8428330295039211
