name,type,threshold,cal_accuracy,cal_recall,cal_f1,cal_auc,cal_min_acc_rec_f1
STACK_top4,stack,0.53,0.6930074677528852,0.7265779790546278,0.6942528735632184,0.7659329653248494,0.6930074677528852
CAT_v1,single,0.505,0.6927359131025119,0.7565808095103311,0.702589039295571,0.7664200408081985,0.6927359131025119
CAT_v2,single,0.515,0.6920570264765784,0.7371921879422587,0.6966697873478668,0.7639011974482172,0.6920570264765784
XGB_v1,single,0.525,0.6912423625254582,0.7217662043589018,0.6916192026037429,0.7653842413787806,0.6912423625254582
XGB_v2,single,0.51,0.6896809232858113,0.739031984149448,0.6955710955710955,0.760501751455262,0.6896809232858113
LGBM_v2,single,0.505,0.6887983706720978,0.7435607132748373,0.6962629207527167,0.761241219087317,0.6887983706720978
RF_v2,single,0.5,0.6877121520706042,0.7411548259269742,0.6948387952766353,0.7571541946880797,0.6877121520706042
LGBM_v1,single,0.505,0.6873048200950441,0.7398811208604585,0.6941973177532864,0.7590267863632307,0.6873048200950441
RF_v1,single,0.48,0.6854039375424305,0.7594112652136994,0.6984250943641807,0.7517308934637745,0.6854039375424305
