config_key,model_name,sampling,rank,class_weight_applied,params,cv_f1,cv_auc,cv_accuracy,cv_precision,cv_recall,cal_f1,cal_auc,cal_accuracy,cal_precision,cal_recall,model_path
RandomForest__class_weight,RandomForest,class_weight,3,True,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6888162157830492,0.82416451099523,0.7410682986221337,0.5778781022734585,0.8524849645489245,0.6885558438807393,0.8250424945887465,0.7406852153975043,0.5774047428723688,0.8527019937040924,models_knn_2015_clinical_dietary_only\RandomForest__class_weight_rank3.joblib
RandomForest__smote,RandomForest,smote,1,False,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 100}",0.6876625915516248,0.8223159841169669,0.7412856175880187,0.5786975579043214,0.847200465175624,0.688034188034188,0.8217714262464701,0.7424930552493496,0.5803893294881038,0.844700944386149,models_knn_2015_clinical_dietary_only\RandomForest__smote_rank1.joblib
RandomForest__smote,RandomForest,smote,2,False,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 200}",0.6875286429055537,0.8218821560341697,0.7413895547447468,0.5789142718621815,0.8463290825224558,0.6888806089317081,0.8226762582318835,0.7422725869747343,0.5796828809459823,0.8487670514165793,models_knn_2015_clinical_dietary_only\RandomForest__smote_rank2.joblib
RandomForest__smote,RandomForest,smote,3,False,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5, ""model__n_estimators"": 100}",0.6874584074417724,0.8217749448007489,0.7412005661648837,0.5786694303510097,0.8466665047084415,0.6882694665032244,0.8216627219955652,0.7420962123550421,0.5796750157105665,0.8469307450157397,models_knn_2015_clinical_dietary_only\RandomForest__smote_rank3.joblib
RandomForest__adasyn,RandomForest,adasyn,1,False,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 200}",0.6866544956381675,0.8220836078885464,0.7353421674991185,0.5703301899549539,0.8626040512467424,0.688025045656144,0.8218237875951869,0.7363640372150447,0.5712676544493545,0.8647691500524659,models_knn_2015_clinical_dietary_only\RandomForest__adasyn_rank1.joblib
RandomForest__adasyn,RandomForest,adasyn,2,False,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 100}",0.6865797462874046,0.8215930331191714,0.7350209006627153,0.5698932817093818,0.8633629953897209,0.6876889398519754,0.8218917920057376,0.735790819701045,0.5705760249091852,0.8652938090241343,models_knn_2015_clinical_dietary_only\RandomForest__adasyn_rank2.joblib
RandomForest__adasyn,RandomForest,adasyn,3,False,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5, ""model__n_estimators"": 100}",0.6864807916073198,0.8216325872228915,0.7354272184758454,0.5705115697092824,0.8616484266153457,0.6878767230986949,0.8228612784951157,0.7374222849331981,0.5728502837189,0.8607030430220357,models_knn_2015_clinical_dietary_only\RandomForest__adasyn_rank3.joblib
RandomForest__smote_class_weight,RandomForest,smote_class_weight,1,True,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 100}",0.6876625915516248,0.8223159841169669,0.7412856175880187,0.5786975579043214,0.847200465175624,0.688034188034188,0.8217714262464701,0.7424930552493496,0.5803893294881038,0.844700944386149,models_knn_2015_clinical_dietary_only\RandomForest__smote_class_weight_rank1.joblib
RandomForest__smote_class_weight,RandomForest,smote_class_weight,2,True,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 200}",0.6875286429055537,0.8218821560341697,0.7413895547447468,0.5789142718621815,0.8463290825224558,0.6888806089317081,0.8226762582318835,0.7422725869747343,0.5796828809459823,0.8487670514165793,models_knn_2015_clinical_dietary_only\RandomForest__smote_class_weight_rank2.joblib
RandomForest__smote_class_weight,RandomForest,smote_class_weight,3,True,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5, ""model__n_estimators"": 100}",0.6874584074417724,0.8217749448007489,0.7412005661648837,0.5786694303510097,0.8466665047084415,0.6882694665032244,0.8216627219955652,0.7420962123550421,0.5796750157105665,0.8469307450157397,models_knn_2015_clinical_dietary_only\RandomForest__smote_class_weight_rank3.joblib
