config_key,model_name,sampling,rank,class_weight_applied,params,cv_f1,cv_auc,cv_accuracy,cv_precision,cv_recall,cal_f1,cal_auc,cal_accuracy,cal_precision,cal_recall,model_path
kNN__adasyn,kNN,adasyn,3,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 13, ""model__weights"": ""uniform""}",0.5924124850136624,0.649187803384289,0.6043858883750691,0.5466767794745157,0.6465103095435791,0.5985647006055169,0.6579545867347423,0.6112815222997366,0.5534473820632452,0.6516908802344036,models\kNN__adasyn_rank3.joblib
kNN__smote_class_weight,kNN,smote_class_weight,1,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.61514938583586,0.6655734714308851,0.6149841491434721,0.5537064094780545,0.6919374751148838,0.6224522983521249,0.6740063039584561,0.6218681288851489,0.5597640635663449,0.7009522646807471,models\kNN__smote_class_weight_rank1.joblib
kNN__smote_class_weight,kNN,smote_class_weight,2,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.6146373104931098,0.6657479480989995,0.6148445452694646,0.5536737401642858,0.6906948773476269,0.620738289620006,0.6740313959704072,0.6204294361953364,0.5585493239615366,0.698510560371139,models\kNN__smote_class_weight_rank2.joblib
kNN__smote_class_weight,kNN,smote_class_weight,3,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 13, ""model__weights"": ""uniform""}",0.6114966339815366,0.6611329054430858,0.6123665765058314,0.5515997380664399,0.6859991465332737,0.6175117715903214,0.6691785802697938,0.6185292760389804,0.5571982906822536,0.692467342204859,models\kNN__smote_class_weight_rank3.joblib
kNN__adasyn_class_weight,kNN,adasyn_class_weight,1,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.5971390474901248,0.6548395560632585,0.6087310589535526,0.550744422496121,0.6520824121910669,0.6027596223674655,0.6623807039545602,0.6139417465186351,0.5556127703398558,0.6586497375167867,models\kNN__adasyn_class_weight_rank1.joblib
kNN__adasyn_class_weight,kNN,adasyn_class_weight,2,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.5966798691625106,0.6554292282572053,0.6083994997527847,0.5504564289294009,0.6513891759940006,0.6017377699550192,0.6632432183668013,0.6130459567306388,0.5547885219720777,0.6573678427542424,models\kNN__adasyn_class_weight_rank2.joblib
kNN__adasyn_class_weight,kNN,adasyn_class_weight,3,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 13, ""model__weights"": ""uniform""}",0.5924124850136624,0.649187803384289,0.6043858883750691,0.5466767794745157,0.6465103095435791,0.5985647006055169,0.6579545867347423,0.6112815222997366,0.5534473820632452,0.6516908802344036,models\kNN__adasyn_class_weight_rank3.joblib
RandomForest__baseline,RandomForest,baseline,1,False,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 200}",0.6116669516393649,0.7196195952188212,0.6596922897943751,0.6209519030589459,0.6026657109755504,0.6188071262587141,0.7266916111522688,0.6660332799478813,0.6283269363870887,0.6095714808936638,models\RandomForest__baseline_rank1.joblib
RandomForest__baseline,RandomForest,baseline,2,False,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6112735442954287,0.716110863038227,0.6577960038391065,0.6176811858750442,0.6050201995822145,0.6195049870705578,0.7240316639288653,0.6644860066777057,0.6248913178487144,0.6142107190819192,models\RandomForest__baseline_rank2.joblib
RandomForest__baseline,RandomForest,baseline,3,False,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6112522514680101,0.7194487470665403,0.659529418608033,0.6209028234028932,0.6019071161819541,0.6186076692519235,0.7261631899116422,0.6649474741442493,0.6263688129653964,0.6110365034794286,models\RandomForest__baseline_rank3.joblib
