rank,sampling,model,threshold,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,base,naive_bayes,0.35,0.7152,0.7949,0.3227,0.459,0.8094,0.6413,0.1846,0.75505
2,cw,naive_bayes,0.35,0.7152,0.7949,0.3227,0.459,0.8094,0.6413,0.1846,0.75505
3,smote,naive_bayes,0.35,0.7024,0.792,0.3116,0.4473,0.7954,0.7278,0.2106,0.7472000000000001
4,smotenc,naive_bayes,0.35,0.7024,0.792,0.3116,0.4473,0.7954,0.7278,0.2106,0.7472000000000001
5,smotecw,naive_bayes,0.35,0.7024,0.792,0.3116,0.4473,0.7954,0.7278,0.2106,0.7472000000000001
6,smotencw,naive_bayes,0.35,0.7024,0.792,0.3116,0.4473,0.7954,0.7278,0.2106,0.7472000000000001
