scaler_key,scaler,model,cv_best_f1,grid_rows,grid_seconds,fit_seconds,accuracy,precision,recall,f1,auc,logloss,best_params
standardization,Standardization,LogReg,0.6731093657768353,30000,0.4607147999922745,0.322046399989631,0.7474039288312719,0.5944571827335261,0.782186659670755,0.6755218216318786,0.8208207604669067,0.5271034235474419,"{""C"": 1.0}"
standardization,Standardization,RandomForest,0.647685263592041,30000,70.58491120004328,6.932238599983975,0.6986132239786582,0.5331038246777783,0.83281957106316,0.6500793528899811,0.7780387698484363,0.63065020356858,"{""max_depth"": 1, ""max_leaf_nodes"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
standardization,Standardization,KNN,0.5414997180331355,30000,35.22761310002534,0.019160700030624866,0.7221818021474083,0.5932346723044397,0.5521086115301371,0.571933281244692,0.7836821610588681,0.6256044011681869,"{""n_neighbors"": 11, ""p"": 2, ""weights"": ""uniform""}"
standardization,Standardization,NaiveBayes,0.6012423510695518,30000,0.28155620000325143,0.0909510999917984,0.7226007011045704,0.5785718497552922,0.6435364333967338,0.6093274545115817,0.7646954324600271,0.8547460593424471,"{""var_smoothing"": 1e-09}"
standardization,Standardization,AdaBoost,0.6623243493746331,30000,141.75397209997755,29.739945899986196,0.7474259761448068,0.6015972557217131,0.7361448153735161,0.662104766399245,0.8050135358825209,0.500486615168332,"{""learning_rate"": 0.03, ""n_estimators"": 100}"
standardization,Standardization,XGBoost,0.687811525211845,30000,21.99584779998986,3.4503860999830067,0.7403267411865864,0.5762384071029845,0.8598412802518528,0.6900363177009317,0.8254162461129115,0.5036441152412304,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 150, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
standardization,Standardization,CatBoost,0.6869094124801064,30000,30.884167200012598,2.385743699967861,0.7394228013316577,0.5750306426195062,0.8615465337443432,0.6897167309863222,0.825232059959332,0.5046221925028838,"{""depth"": 3, ""iterations"": 150, ""learning_rate"": 0.05}"
standardization,Standardization,LightGBM,0.6845695554984933,30000,6.435228999995161,2.559908399998676,0.7362038935555703,0.5713168187744458,0.8622024004722241,0.6872467783673576,0.8235253013060677,0.5072738977340543,"{""learning_rate"": 0.05, ""max_depth"": 1, ""n_estimators"": 250, ""num_leaves"": 2}"
min_max_scaling,Min-Max,LogReg,0.6725639503325856,30000,0.4661363000050187,0.2493224000209011,0.7471173137553189,0.5942036214894997,0.7812684462517216,0.675015583385278,0.8208194535255691,0.52716786958386,"{""C"": 1.0}"
min_max_scaling,Min-Max,RandomForest,0.64729082994644,30000,69.66163699998287,6.672187099989969,0.6994730692065172,0.5339609952925353,0.8332130910998885,0.6508363431440355,0.779264626367145,0.6309459697666371,"{""max_depth"": 1, ""max_leaf_nodes"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
min_max_scaling,Min-Max,KNN,0.5962648753251547,30000,31.559498300019186,0.019008499977644533,0.7331393169742267,0.6029884002883544,0.6034629763232111,0.6032255949649249,0.7979213751497346,0.6176255290696437,"{""n_neighbors"": 11, ""p"": 2, ""weights"": ""uniform""}"
min_max_scaling,Min-Max,NaiveBayes,0.5989493759320248,30000,0.24485970003297552,0.08363499998813495,0.7250700002204732,0.5842485286087009,0.6315340722765134,0.6069717599596571,0.7661644878901757,0.8515569119761606,"{""var_smoothing"": 1e-09}"
min_max_scaling,Min-Max,AdaBoost,0.6623243493746331,30000,140.4555673999712,29.64232990000164,0.7474259761448068,0.6015972557217131,0.7361448153735161,0.662104766399245,0.8050135358825209,0.500486615168332,"{""learning_rate"": 0.03, ""n_estimators"": 100}"
min_max_scaling,Min-Max,XGBoost,0.6872815853290888,30000,21.974197900039144,3.577636700007133,0.7392684701369138,0.5746454287584551,0.863645307273562,0.6901105812064358,0.8250293892987688,0.5043495491499851,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 150, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
min_max_scaling,Min-Max,CatBoost,0.68652267328774,30000,30.720493200002238,2.3252013999735937,0.7379676786383579,0.5730742479568771,0.8646291073653833,0.6892891689106168,0.825056485460049,0.5048871397088311,"{""depth"": 3, ""iterations"": 150, ""learning_rate"": 0.03}"
min_max_scaling,Min-Max,LightGBM,0.6849233253662201,30000,6.430823100032285,2.4981280000065453,0.7353660956412461,0.5704727146332986,0.8611530137076147,0.6863026945090558,0.8235715201973516,0.5072066299181295,"{""learning_rate"": 0.05, ""max_depth"": 1, ""n_estimators"": 250, ""num_leaves"": 2}"
robust_scaling,Robust,LogReg,0.6701696372470994,30000,33.09417530003702,25.278608300024644,0.7395991798399365,0.5834872193604821,0.7874991801665902,0.6703140265177948,0.8131994605730324,0.5366222855006364,"{""C"": 0.5}"
robust_scaling,Robust,RandomForest,0.6475744205004804,30000,69.88715480000246,6.716581299959216,0.6993628326388429,0.5339744400860432,0.8303272774972126,0.6499640620186877,0.7791908244789327,0.6306917268810558,"{""max_depth"": 1, ""max_leaf_nodes"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
robust_scaling,Robust,KNN,0.4373851765748997,30000,31.356362899998203,0.019060600025113672,0.6993848799523779,0.5533280402276035,0.5485013445267921,0.550904120417641,0.7217616732787369,1.5069186809947168,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}"
robust_scaling,Robust,NaiveBayes,0.6016230246026001,30000,0.2857945999712683,0.08930140000302345,0.7225566064775008,0.5763343461560512,0.6593428215386633,0.6150504741511166,0.762856244708385,0.848808527385508,"{""var_smoothing"": 1e-09}"
robust_scaling,Robust,AdaBoost,0.6623243493746331,30000,141.85922589997062,29.736812499992084,0.7474259761448068,0.6015972557217131,0.7361448153735161,0.662104766399245,0.8050135358825209,0.500486615168332,"{""learning_rate"": 0.03, ""n_estimators"": 100}"
robust_scaling,Robust,XGBoost,0.6872105690135283,30000,22.147531599970534,3.669778599985875,0.739378706704588,0.574705625817706,0.8643011740014429,0.69036330775074,0.8250355722204129,0.5042598523585856,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 150, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
robust_scaling,Robust,CatBoost,0.6867752282553351,30000,30.31396769999992,2.3131616999744438,0.739378706704588,0.5748950682056663,0.8623991604905883,0.6898921797528791,0.8251774330787768,0.5048029468924257,"{""depth"": 3, ""iterations"": 150, ""learning_rate"": 0.05}"
robust_scaling,Robust,LightGBM,0.6844911625029327,30000,6.28981930000009,2.6243514000088908,0.7367771237074763,0.5721451626973741,0.8603003869613695,0.6872396720194902,0.8236664368119894,0.5071895662716215,"{""learning_rate"": 0.05, ""max_depth"": 1, ""n_estimators"": 250, ""num_leaves"": 2}"
