scaler_key,scaler,model,strategy,cv_best_f1,grid_rows,grid_seconds,fit_seconds,accuracy,precision,recall,f1,auc,logloss,best_params
standardization,Standardization,LogReg,base,0.6003306365485369,30000,0.2586649000295438,0.09721079998416826,0.7461692792733206,0.6391414517811894,0.5624713058306552,0.5983603697889412,0.820572073490967,0.4885541069879077,"{""C"": 0.5}"
standardization,Standardization,LogReg,adasyn,0.7354134905453179,39441,0.2793470000033267,0.17642709997016937,0.746389752408669,0.5915940894412369,0.7930084606807897,0.6776516743729859,0.8204151011233879,0.5304782206714612,"{""C"": 0.5}"
standardization,Standardization,LogReg,smote,0.7627117138492405,39830,0.27099019999150187,0.1361826999927871,0.7476464492801552,0.5948968891995806,0.7813996195972979,0.6755117083404207,0.820812636737376,0.5269802597033815,"{""C"": 1.0}"
standardization,Standardization,LogReg,class_weight,0.6739186629822894,30000,0.24330679996637627,0.11501410003984347,0.7476023546530856,0.5946296019528721,0.7828425263986358,0.6758776896942242,0.8208291303370556,0.5271118337573473,"{""C"": 0.5}"
standardization,Standardization,LogReg,smote_class_weight,0.7627117138492405,39830,0.3021778999827802,0.15408609999576584,0.7476464492801552,0.5948968891995806,0.7813996195972979,0.6755117083404207,0.820812636737376,0.5269802597033815,"{""C"": 1.0}"
standardization,Standardization,LogReg,adasyn_class_weight,0.7376476162138353,39441,0.3172626000014134,0.16407459997572005,0.7442952576228586,0.5865471277453631,0.8109792090247262,0.680742127284739,0.8204515560737626,0.5386902369017247,"{""C"": 0.5}"
standardization,Standardization,RandomForest,base,0.0,30000,40.52330860000802,3.5688692000112496,0.6638446105342064,0.0,0.0,0.0,0.7885667846043269,0.575183310539716,"{""max_depth"": 1, ""max_leaf_nodes"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
standardization,Standardization,RandomForest,adasyn,0.7261075054424335,39441,53.199450200016145,5.177612099971157,0.6930573009678771,0.5297125173790196,0.7746441923001246,0.6291817600681867,0.7733400086088226,0.6180482388043208,"{""max_depth"": 1, ""max_leaf_nodes"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
standardization,Standardization,RandomForest,smote,0.7493509858148908,39830,55.45039299997734,5.4386247000074945,0.700354961747911,0.5374830239927569,0.7787105660129862,0.635991108016177,0.776667168677356,0.6184454378494485,"{""max_depth"": 1, ""max_leaf_nodes"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
standardization,Standardization,RandomForest,class_weight,0.645947206414422,30000,53.576277300016955,5.477087700041011,0.6988777917410763,0.534047568030855,0.8173411162851708,0.6460007257270229,0.77868782196636,0.6210738382075538,"{""max_depth"": 1, ""max_leaf_nodes"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
standardization,Standardization,RandomForest,smote_class_weight,0.7494441984382139,39830,70.17125909996685,7.791417900007218,0.7000242520448884,0.5371015148089532,0.7790384993769266,0.635833199507521,0.7766375947731234,0.6184980011489518,"{""max_depth"": 1, ""max_leaf_nodes"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
standardization,Standardization,RandomForest,adasyn_class_weight,0.7296466441097239,39441,69.0220915999962,7.421882299997378,0.6905439072249047,0.525686166376787,0.8127500491900046,0.6384337970118495,0.7726049488597121,0.6268845637155691,"{""max_depth"": 1, ""max_leaf_nodes"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
standardization,Standardization,KNN,base,0.5651104837887618,30000,22.9469950000057,0.011126500030513853,0.7263928390325639,0.5986233748174928,0.5647012527054502,0.5811677354033075,0.7895291225411505,0.618190506485617,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""uniform""}"
standardization,Standardization,KNN,adasyn,0.7573681984910717,39441,39.20341539999936,0.014489700028207153,0.7066604934188769,0.5445045375378128,0.7791696727225028,0.6410360178065561,0.7791652563498999,0.6730555846136899,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""uniform""}"
standardization,Standardization,KNN,smote,0.7765304648076373,39830,40.30733979999786,0.014924800023436546,0.7166479264501621,0.5584973865468223,0.7498524299862268,0.6401814211322022,0.7841341830572175,0.7382194647834764,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""uniform""}"
standardization,Standardization,KNN,class_weight,0.5651104837887618,30000,23.105517100018915,0.012282899988349527,0.7263928390325639,0.5986233748174928,0.5647012527054502,0.5811677354033075,0.7895291225411505,0.618190506485617,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""uniform""}"
standardization,Standardization,KNN,smote_class_weight,0.7765304648076373,39830,40.657359900011215,0.01722969999536872,0.7166479264501621,0.5584973865468223,0.7498524299862268,0.6401814211322022,0.7841341830572175,0.7382194647834764,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""uniform""}"
standardization,Standardization,KNN,adasyn_class_weight,0.7573681984910717,39441,40.237086199980695,0.014538600051309913,0.7066604934188769,0.5445045375378128,0.7791696727225028,0.6410360178065561,0.7791652563498999,0.6730555846136899,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""uniform""}"
standardization,Standardization,NaiveBayes,base,0.6240645967314522,30000,0.1987562999711372,0.04376219998812303,0.734947196684084,0.5965858041329739,0.653243260969371,0.6236303299730762,0.7908484939799123,0.6889809853349773,"{""var_smoothing"": 1e-09}"
standardization,Standardization,NaiveBayes,adasyn,0.7129418984760988,39441,0.20715450000716373,0.060022199992090464,0.7319046674162754,0.5817575083426029,0.7203384272315866,0.6436734454667995,0.7947603915831496,0.6827583239315155,"{""var_smoothing"": 1e-09}"
standardization,Standardization,NaiveBayes,smote,0.7543984310492142,39830,0.2169618999469094,0.06615279999095947,0.7279802456070728,0.5704802054562194,0.7721518987341772,0.6561698807267863,0.7821867369981174,0.7939837183258912,"{""var_smoothing"": 1e-09}"
standardization,Standardization,NaiveBayes,class_weight,0.6240645967314522,30000,0.15173719997983426,0.04134760005399585,0.734947196684084,0.5965858041329739,0.653243260969371,0.6236303299730762,0.7908484939799123,0.6889809853349773,"{""var_smoothing"": 1e-09}"
standardization,Standardization,NaiveBayes,smote_class_weight,0.7543984310492142,39830,0.1941486000432633,0.07095359999220818,0.7279802456070728,0.5704802054562194,0.7721518987341772,0.6561698807267863,0.7821867369981174,0.7939837183258912,"{""var_smoothing"": 1e-09}"
standardization,Standardization,NaiveBayes,adasyn_class_weight,0.7129418984760988,39441,0.20732599997427315,0.059918399958405644,0.7319046674162754,0.5817575083426029,0.7203384272315866,0.6436734454667995,0.7947603915831496,0.6827583239315155,"{""var_smoothing"": 1e-09}"
standardization,Standardization,AdaBoost,base,0.6623243493746331,30000,67.47338450001553,15.036365300009493,0.7474259761448068,0.6015972557217131,0.7361448153735161,0.662104766399245,0.8050135358825209,0.500486615168332,"{""learning_rate"": 0.03, ""n_estimators"": 100}"
standardization,Standardization,AdaBoost,adasyn,0.7717273601577807,39441,97.98709180002334,22.027354900026694,0.6955045527702449,0.5271311970979444,0.914934085393848,0.668888302845772,0.80702436424002,0.5699002656035568,"{""learning_rate"": 0.03, ""n_estimators"": 100}"
standardization,Standardization,AdaBoost,smote,0.7882627863931698,39830,97.0150152000133,22.305095699965023,0.6995392111471217,0.530964311670428,0.9104086049714698,0.6707417250543609,0.8070113732431251,0.565081404549653,"{""learning_rate"": 0.03, ""n_estimators"": 100}"
standardization,Standardization,AdaBoost,class_weight,0.6623243493746331,30000,66.39904139999999,14.853936000028625,0.7474259761448068,0.6015972557217131,0.7361448153735161,0.662104766399245,0.8050135358825209,0.500486615168332,"{""learning_rate"": 0.03, ""n_estimators"": 100}"
standardization,Standardization,AdaBoost,smote_class_weight,0.7882627863931698,39830,96.76552949997131,22.929238000011537,0.6995392111471217,0.530964311670428,0.9104086049714698,0.6707417250543609,0.8070113732431251,0.565081404549653,"{""learning_rate"": 0.03, ""n_estimators"": 100}"
standardization,Standardization,AdaBoost,adasyn_class_weight,0.7717273601577807,39441,96.77576960000442,24.217039499955717,0.6955045527702449,0.5271311970979444,0.914934085393848,0.668888302845772,0.80702436424002,0.5699002656035568,"{""learning_rate"": 0.03, ""n_estimators"": 100}"
standardization,Standardization,XGBoost,base,0.6599292313077161,30000,14.648796399997082,2.309309599979315,0.7547677315519103,0.6148618538324421,0.7239456942349315,0.66495978794542,0.8248722459396981,0.4679729085990504,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 150, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
standardization,Standardization,XGBoost,adasyn,0.7916026809851768,39441,20.12827650003601,4.477685400051996,0.7385850034173336,0.5741404951447817,0.8608906670164622,0.6888661471043586,0.8220710339171534,0.49958120294457703,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 250, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
standardization,Standardization,XGBoost,smote,0.8015267111012988,39830,19.365400100010447,4.54491469997447,0.7427960403024891,0.5806204691791615,0.8457401456024136,0.6885412217001281,0.8234444332216907,0.49837092553092566,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 250, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
